training_sports,evaluation_sports,feature_set,target,training_rows,training_r_squared,external_rows,external_selected,external_selected_average_target,external_mae,external_median_absolute_error,external_rmse,external_r_squared,selected_engine_pnl,selected_average_engine_pnl,all_engine_pnl,all_average_engine_pnl
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_c_c_over_p_log_p_over_c_p2,engine_pnl_per_100,64,0.3536568741,234,151,0.1358198136,1.687941424,0.7214202155,3.054831713,-0.1663720847,20.50879186,0.1358198136,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_c_c_over_p_log_p_over_c_p2,profit_per_100,64,0.3696152563,234,154,0.06531976024,2.09091615,0.8788061216,3.909463415,-0.1962118572,17.91648417,0.1163408063,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_c_c_over_p_log_p_over_c_p2,strategy_ev,64,0.3531162947,234,165,0.001334611321,0.01683644131,0.007324803074,0.03052588025,-0.1671190844,18.4710868,0.1119459806,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_c_c_over_p_log_p_over_c_p2,strategy_ev_relative,64,0.3439942867,234,212,-0.1026423936,0.5153263326,0.2081207815,1.837737258,-0.135946759,60.36703208,0.2847501513,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_c_c_over_p_p2,engine_pnl_per_100,64,0.3401125855,234,133,0.08112857595,1.720967395,0.7365949208,3.08276107,-0.18779712,10.7901006,0.08112857595,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_c_c_over_p_p2,profit_per_100,64,0.3582787491,234,133,0.006912903256,2.139903943,0.8416470808,3.942333507,-0.2164115037,10.26911295,0.07721137554,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_c_c_over_p_p2,strategy_ev,64,0.3393544516,234,138,0.0009582723603,0.01720872023,0.007478642899,0.03080883692,-0.1888563589,10.72415857,0.077711294,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_c_c_over_p_p2,strategy_ev_relative,64,0.3375685122,234,175,-0.161682095,0.5129051543,0.216791036,1.841984629,-0.1412036177,25.93530034,0.1482017162,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_p_over_c_p2,engine_pnl_per_100,64,0.2787006536,234,140,0.1915116525,1.594347429,0.6208920488,2.988401091,-0.1161956055,26.81163136,0.1915116525,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_p_over_c_p2,profit_per_100,64,0.2746683856,234,143,0.1387397022,1.97187597,0.7017335128,3.784418333,-0.1209134274,25.81932366,0.1805547109,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_p_over_c_p2,strategy_ev,64,0.2734430235,234,145,0.002301535506,0.01590531353,0.00616527244,0.02984963176,-0.1159808286,30.62226484,0.2111880334,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_p_over_c_p2,strategy_ev_relative,64,0.3367652839,234,208,-0.1108292708,0.5079369197,0.1993787725,1.841959379,-0.1411723305,54.62198916,0.2626057171,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_log_p_over_c_p2,engine_pnl_per_100,64,0.2753238313,234,137,0.1971651924,1.597236367,0.6163166325,2.990368625,-0.1176658741,27.01163136,0.1971651924,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_log_p_over_c_p2,profit_per_100,64,0.2724655186,234,129,0.02400061984,1.978854715,0.6878970854,3.786988959,-0.1224367411,10.51863833,0.081539832,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_log_p_over_c_p2,strategy_ev,64,0.2703123713,234,140,0.002100830811,0.01595668987,0.005908118412,0.02987564498,-0.1179267759,26.81163136,0.1915116525,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,p_log_p_over_c_p2,strategy_ev_relative,64,0.3334864899,234,177,-0.1403707364,0.5032435231,0.2056880189,1.842040114,-0.1412723707,22.05743515,0.1246182777,69.24644048,0.2959249593
fifa,lol_worlds_2025;mlb;nba;nba_2025;nfl;nhl;nhl_2025;ucl_2026;wimbledon_2026,log_p_over_c_only,engine_pnl_per_100,64,0.03650795388,234,233,0.2974096158,1.621795749,0.6894181367,2.836359217,-0.005506773046,69.29644048,0.2974096158,69.24644048,0.2959249593
