"sport","threshold_percent","qualifying_hedges","trade_count","total_pnl","pnl_per_hedge","return_on_stake","max_drawdown"
"fifa","0","64","256","28.577009","0.446516","0.004465","0.001017"
"fifa","1","64","256","28.577009","0.446516","0.004465","0.001017"
"fifa","2","64","256","28.577009","0.446516","0.004465","0.001017"
"fifa","3","64","256","28.577009","0.446516","0.004465","0.001017"
"fifa","4","64","256","28.577009","0.446516","0.004465","0.001017"
"fifa","5","64","256","28.577009","0.446516","0.004465","0.001017"
"fifa","6","64","256","28.577009","0.446516","0.004465","0.001017"
"fifa","7","63","252","28.627009","0.454397","0.004544","0.001017"
"fifa","8","62","248","28.677009","0.462532","0.004625","0.001017"
"fifa","9","62","248","28.677009","0.462532","0.004625","0.001017"
"fifa","10","62","248","28.677009","0.462532","0.004625","0.001017"
"fifa","11","62","248","28.677009","0.462532","0.004625","0.001017"
"fifa","12","62","248","28.677009","0.462532","0.004625","0.001017"
"fifa","13","60","240","28.777009","0.479617","0.004796","0.001017"
"fifa","14","58","232","28.706638","0.494942","0.004949","0.001017"
"fifa","15","57","228","28.756638","0.504502","0.005045","0.001017"
"fifa","16","57","228","28.756638","0.504502","0.005045","0.001017"
"fifa","17","56","224","28.806638","0.514404","0.005144","0.001017"
"fifa","18","56","224","28.806638","0.514404","0.005144","0.001017"
"fifa","19","56","224","28.806638","0.514404","0.005144","0.001017"
"fifa","20","55","220","28.856638","0.524666","0.005247","0.001017"
"fifa","21","55","220","28.856638","0.524666","0.005247","0.001017"
"fifa","22","55","220","28.856638","0.524666","0.005247","0.001017"
"fifa","23","54","216","28.906638","0.535308","0.005353","0.001017"
"fifa","24","54","216","28.906638","0.535308","0.005353","0.001017"
"fifa","25","53","212","28.956638","0.546352","0.005464","0.001017"
"fifa","26","53","212","28.956638","0.546352","0.005464","0.001017"
"fifa","27","52","208","29.006638","0.557820","0.005578","0.001017"
"fifa","28","51","204","29.056638","0.569738","0.005697","0.001017"
"fifa","29","47","188","28.516287","0.606730","0.006067","0.001017"
"fifa","30","47","188","28.516287","0.606730","0.006067","0.001017"
"fifa","31","46","184","28.352353","0.616356","0.006164","0.001043"
"fifa","32","46","184","28.352353","0.616356","0.006164","0.001043"
"fifa","33","45","180","28.402353","0.631163","0.006312","0.001043"
"fifa","34","43","172","28.502353","0.662845","0.006628","0.001043"
"fifa","35","42","168","28.552353","0.679818","0.006798","0.001043"
"fifa","36","42","168","28.552353","0.679818","0.006798","0.001043"
"fifa","37","42","168","28.552353","0.679818","0.006798","0.001043"
"fifa","38","41","164","28.602353","0.697618","0.006976","0.001043"
"fifa","39","40","160","28.652353","0.716309","0.007163","0.001043"
"fifa","40","40","160","28.652353","0.716309","0.007163","0.001043"
"fifa","41","38","152","28.506674","0.750176","0.007502","0.001043"
"fifa","42","36","144","29.353662","0.815379","0.008154","0.001035"
"fifa","43","36","144","29.353662","0.815379","0.008154","0.001035"
"fifa","44","36","144","29.353662","0.815379","0.008154","0.001035"
"fifa","45","35","140","35.672676","1.019219","0.010192","0.000115"
"fifa","46","35","140","35.672676","1.019219","0.010192","0.000115"
"fifa","47","33","132","35.32817","1.070551","0.010706","0.000115"
"fifa","48","32","128","35.37817","1.105568","0.011056","0.000115"
"fifa","49","32","128","35.37817","1.105568","0.011056","0.000115"
"fifa","50","32","128","35.37817","1.105568","0.011056","0.000115"
