"threshold_percent","active_sports","profitable_sports","qualifying_hedges","trade_count","total_deployed_stake","total_pnl","pnl_per_hedge","return_on_stake"
"0","10","7","298","1192","29800","97.823449","0.328267","0.003283"
"1","10","7","298","1192","29800","97.823449","0.328267","0.003283"
"2","10","7","298","1192","29800","97.823449","0.328267","0.003283"
"3","10","7","297","1188","29700","97.873449","0.32954","0.003295"
"4","10","7","295","1180","29500","98.023449","0.332283","0.003323"
"5","10","7","294","1176","29400","98.073449","0.333583","0.003336"
"6","10","7","293","1172","29300","98.123449","0.334892","0.003349"
"7","10","7","290","1160","29000","99.115757","0.341778","0.003418"
"8","10","7","288","1152","28800","99.215757","0.344499","0.003445"
"9","10","7","288","1152","28800","99.215757","0.344499","0.003445"
"10","10","7","288","1152","28800","99.215757","0.344499","0.003445"
"11","10","7","288","1152","28800","99.215757","0.344499","0.003445"
"12","10","7","287","1148","28700","99.265757","0.345874","0.003459"
"13","10","7","283","1132","28300","99.465757","0.351469","0.003515"
"14","10","7","278","1112","27800","120.030572","0.431765","0.004318"
"15","10","7","276","1104","27600","120.130572","0.435256","0.004353"
"16","10","7","275","1100","27500","120.180572","0.43702","0.00437"
"17","10","7","272","1088","27200","120.330572","0.442392","0.004424"
"18","10","7","269","1076","26900","120.480572","0.447883","0.004479"
"19","10","7","264","1056","26400","124.553545","0.471794","0.004718"
"20","10","7","263","1052","26300","124.603545","0.473778","0.004738"
"21","10","7","261","1044","26100","124.653545","0.4776","0.004776"
"22","10","7","260","1040","26000","124.703545","0.479629","0.004796"
"23","10","7","258","1032","25800","124.803545","0.483735","0.004837"
"24","10","7","255","1020","25500","122.416311","0.480064","0.004801"
"25","10","7","252","1008","25200","119.476515","0.474113","0.004741"
"26","10","7","251","1004","25100","119.526515","0.476201","0.004762"
"27","10","7","247","988","24700","109.292915","0.442481","0.004425"
"28","10","7","240","960","24000","106.231804","0.442633","0.004426"
"29","10","7","233","932","23300","105.841453","0.454255","0.004543"
"30","10","7","231","924","23100","105.941453","0.458621","0.004586"
"31","10","7","224","896","22400","84.434698","0.376941","0.003769"
"32","10","7","222","888","22200","78.540254","0.353785","0.003538"
"33","10","7","221","884","22100","78.590254","0.355612","0.003556"
"34","10","7","213","852","21300","75.620557","0.355026","0.00355"
"35","10","7","208","832","20800","75.686499","0.363877","0.003639"
"36","10","7","204","816","20400","78.292837","0.383788","0.003838"
"37","10","7","198","792","19800","73.037281","0.368875","0.003689"
"38","10","7","193","772","19300","73.070614","0.378604","0.003786"
"39","10","7","190","760","19000","73.220614","0.385372","0.003854"
"40","10","7","188","752","18800","73.320614","0.390003","0.0039"
"41","10","7","179","716","17900","63.371849","0.354033","0.00354"
"42","10","7","174","696","17400","61.218234","0.351829","0.003518"
"43","10","7","172","688","17200","56.415293","0.327996","0.00328"
"44","10","7","172","688","17200","56.415293","0.327996","0.00328"
"45","10","7","170","680","17000","62.784307","0.369319","0.003693"
"46","10","7","163","652","16300","52.543464","0.322353","0.003224"
"47","10","6","157","628","15700","46.146807","0.293929","0.002939"
"48","10","6","154","616","15400","44.346807","0.287966","0.00288"
"49","10","6","151","604","15100","42.503508","0.28148","0.002815"
"50","10","6","149","596","14900","42.350477","0.284231","0.002842"
"51","10","6","147","588","14700","43.078695","0.293052","0.002931"
"52","10","6","144","576","14400","45.609763","0.316734","0.003167"
"53","10","6","140","560","14000","38.326247","0.273759","0.002738"
"54","10","5","135","540","13500","24.889332","0.184365","0.001844"
"55","10","5","129","516","12900","23.709974","0.183798","0.001838"
"56","10","5","125","500","12500","25.850966","0.206808","0.002068"
"57","10","5","125","500","12500","25.850966","0.206808","0.002068"
"58","10","5","125","500","12500","25.850966","0.206808","0.002068"
"59","10","5","119","476","11900","27.868439","0.234189","0.002342"
"60","10","4","110","440","11000","11.239869","0.102181","0.001022"
"61","10","4","108","432","10800","8.639869","0.079999","0.0008"
"62","10","4","106","424","10600","7.127266","0.067238","0.000672"
