country,opponent,match,kickoff_edt,end_edt,game_winner_start,game_winner_end,tournament_loss_start,tournament_loss_end,team_advance,strategy_ev_relative,strategy_ev,profit_per_100
South Africa,Canada,south-africa-canada,2026-06-28 03:00 PM EDT,2026-06-28 07:00 PM EDT,0.285,0.0005,0.9995,0.9995,no,0.0,0.0,0.0
Canada,South Africa,south-africa-canada,2026-06-28 03:00 PM EDT,2026-06-28 07:00 PM EDT,0.715,0.9995,0.9985,0.9975,yes,-0.6754540128881701,-0.0004031468531468757,-0.04037524818696802
Brazil,Japan,brazil-japan,2026-06-29 01:00 PM EDT,2026-06-29 05:00 PM EDT,0.715,0.9995,0.9385,0.9295,yes,0.6322174118050493,0.01547097902097902,1.648479384227919
Japan,Brazil,brazil-japan,2026-06-29 01:00 PM EDT,2026-06-29 05:00 PM EDT,0.285,0.0005,0.9885,0.9995,no,0.0,0.0,0.0
Germany,Paraguay,germany-paraguay,2026-06-29 04:30 PM EDT,2026-06-29 08:30 PM EDT,0.865,0.0005,0.9555,0.9995,no,0.0,0.0,0.0
Paraguay,Germany,germany-paraguay,2026-06-29 04:30 PM EDT,2026-06-29 08:30 PM EDT,0.135,0.9995,0.9995,0.9975,yes,0.37536148062456914,0.0012018518518514972,0.12024530783906925
Netherlands,Morocco,netherlands-morocco,2026-06-29 09:00 PM EDT,2026-06-30 01:00 AM EDT,0.585,0.0005,0.953,0.9995,no,0.0,0.0,0.0
Morocco,Netherlands,netherlands-morocco,2026-06-29 09:00 PM EDT,2026-06-30 01:00 AM EDT,0.415,0.9995,0.9865,0.9595,yes,-0.42001710863986874,-0.007986144578313335,-0.8095432922770739
Ivory Coast,Norway,ivory-coast-norway,2026-06-30 01:00 PM EDT,2026-06-30 05:00 PM EDT,0.385,0.0005,0.9965,0.9995,no,0.0,0.0,0.0
Norway,Ivory Coast,ivory-coast-norway,2026-06-30 01:00 PM EDT,2026-06-30 05:00 PM EDT,0.615,0.9995,0.9795,0.9755,yes,0.6879063719115727,0.00881666666666664,0.9001191083886309
France,Sweden,france-sweden,2026-06-30 05:00 PM EDT,2026-06-30 09:00 PM EDT,0.875,0.9995,0.7155,0.6685,yes,-0.1610589987365985,-0.006519714285714295,-0.9112109413996219
Sweden,France,france-sweden,2026-06-30 05:00 PM EDT,2026-06-30 09:00 PM EDT,0.125,0.0005,0.9985,0.9995,no,0.0,0.0,0.0
Mexico,Ecuador,mexico-ecuador,2026-06-30 10:00 PM EDT,2026-07-01 02:00 AM EDT,0.625,0.9995,0.982,0.9725,yes,0.11919596499036296,0.0012856000000000603,0.1309164969450163
Ecuador,Mexico,mexico-ecuador,2026-06-30 10:00 PM EDT,2026-07-01 02:00 AM EDT,0.375,0.0005,0.9955,0.9995,no,0.0,0.0,0.0
England,Congo DR,england-congo-dr,2026-07-01 12:00 PM EDT,2026-07-01 04:00 PM EDT,0.875,0.9995,0.9045,0.9145,yes,1.735928005214576,0.02358828571428573,2.6078812287767525
Congo DR,England,england-congo-dr,2026-07-01 12:00 PM EDT,2026-07-01 04:00 PM EDT,0.125,0.0005,0.9995,0.9995,no,0.0,0.0,0.0
Belgium,Senegal,belgium-senegal,2026-07-01 04:00 PM EDT,2026-07-01 08:00 PM EDT,0.665,0.9995,0.9855,0.9855,yes,1.0,0.0072936090225563695,0.7400922397317472
Senegal,Belgium,belgium-senegal,2026-07-01 04:00 PM EDT,2026-07-01 08:00 PM EDT,0.335,0.0005,0.9955,0.9995,no,0.0,0.0,0.0
United States,Bosnia-Herzegovina,united-states-bosnia-herzegovina,2026-07-01 08:00 PM EDT,2026-07-02 12:00 AM EDT,0.835,0.9995,0.9705,0.9715,yes,1.1720673844727219,0.006811676646706587,0.7018729156833164
Bosnia-Herzegovina,United States,united-states-bosnia-herzegovina,2026-07-01 08:00 PM EDT,2026-07-02 12:00 AM EDT,0.165,0.0005,0.9995,0.9995,no,0.0,0.0,0.0
Spain,Austria,spain-austria,2026-07-02 03:00 PM EDT,2026-07-02 07:00 PM EDT,0.85625,0.99875,0.891,0.8715,yes,-0.0749637856108128,-0.0013598540145984828,-0.15262110152620456
Austria,Spain,spain-austria,2026-07-02 03:00 PM EDT,2026-07-02 07:00 PM EDT,0.14375,0.00125,0.9985,0.9995,no,0.0,0.0,0.0
Portugal,Croatia,portugal-croatia,2026-07-02 07:00 PM EDT,2026-07-02 11:00 PM EDT,0.72375,0.99875,0.932,0.9355,yes,1.135461229946522,0.029337651122625152,3.1478166440584925
Croatia,Portugal,portugal-croatia,2026-07-02 07:00 PM EDT,2026-07-02 11:00 PM EDT,0.27625,0.00125,0.9965,0.9995,no,0.0,0.0,0.0
Switzerland,Algeria,switzerland-algeria,2026-07-02 11:00 PM EDT,2026-07-03 03:00 AM EDT,0.66625,0.99875,0.9945,0.9915,yes,-0.09295967190705122,-0.0002551594746716974,-0.02565706130434363
Algeria,Switzerland,switzerland-algeria,2026-07-02 11:00 PM EDT,2026-07-03 03:00 AM EDT,0.33375,0.00125,0.9995,0.9995,no,0.0,0.0,0.0
Australia,Egypt,australia-egypt,2026-07-03 02:00 PM EDT,2026-07-03 06:00 PM EDT,0.405,0.0005,0.9985,0.9995,no,0.0,0.0,0.0
Egypt,Australia,australia-egypt,2026-07-03 02:00 PM EDT,2026-07-03 06:00 PM EDT,0.595,0.9995,0.9985,0.9975,yes,0.019365471775819123,1.974789915962661e-05,0.001977756550788844
Argentina,Cape Verde,argentina-cape-verde,2026-07-03 06:00 PM EDT,2026-07-03 10:00 PM EDT,0.935,0.9995,0.8045,0.8285,yes,2.779575328614761,0.03748636363636368,4.659585287304373
Cape Verde,Argentina,argentina-cape-verde,2026-07-03 06:00 PM EDT,2026-07-03 10:00 PM EDT,0.065,0.0005,0.9995,0.9995,no,0.0,0.0,0.0
Colombia,Ghana,colombia-ghana,2026-07-03 09:30 PM EDT,2026-07-04 01:30 AM EDT,0.805,0.9995,0.9735,0.9685,yes,0.2190910413736217,0.0014027950310558854,0.14409810283059943
Ghana,Colombia,colombia-ghana,2026-07-03 09:30 PM EDT,2026-07-04 01:30 AM EDT,0.195,0.0005,0.9995,0.9995,no,0.0,0.0,0.0
Canada,Morocco,canada-morocco,2026-07-04 01:00 PM EDT,2026-07-04 05:00 PM EDT,0.285,0.0005,0.9975,0.9995,no,0.0,0.0,0.0
Morocco,Canada,canada-morocco,2026-07-04 01:00 PM EDT,2026-07-04 05:00 PM EDT,0.715,0.9995,0.9725,0.9755,yes,1.2741652021089636,0.013942307692307684,1.4336563179750832
Paraguay,France,paraguay-france,2026-07-04 05:00 PM EDT,2026-07-04 09:00 PM EDT,0.075,0.0005,0.9985,0.9995,no,0.0,0.0,0.0
France,Paraguay,paraguay-france,2026-07-04 05:00 PM EDT,2026-07-04 09:00 PM EDT,0.925,0.9995,0.6355,0.6395,yes,1.1362535789580286,0.03335702702702703,5.248942097093161
Brazil,Norway,brazil-norway,2026-07-05 04:00 PM EDT,2026-07-05 08:00 PM EDT,0.715,0.0005,0.9285,0.9995,no,0.0,0.0,0.0
Norway,Brazil,brazil-norway,2026-07-05 04:00 PM EDT,2026-07-05 08:00 PM EDT,0.285,0.9995,0.9825,0.9455,yes,0.15665300409876778,0.006872807017543732,0.6995223427525427
Mexico,England,mexico-england,2026-07-05 09:00 PM EDT,2026-07-06 01:00 AM EDT,0.475,0.0005,0.9595,0.9995,no,0.0,0.0,0.0
England,Mexico,mexico-england,2026-07-05 09:00 PM EDT,2026-07-06 01:00 AM EDT,0.525,0.9995,0.9175,0.8585,yes,0.2087364690104425,0.01556428571428578,1.6963799143635727
Portugal,Spain,portugal-spain,2026-07-06 03:00 PM EDT,2026-07-06 07:00 PM EDT,0.345,0.0005,0.9475,0.9995,no,0.0,0.0,0.0
Spain,Portugal,portugal-spain,2026-07-06 03:00 PM EDT,2026-07-06 07:00 PM EDT,0.655,0.9995,0.8695,0.8165,yes,0.22782198644267526,0.015637022900763298,1.7983925130262561
United States,Belgium,united-states-belgium,2026-07-06 08:00 PM EDT,2026-07-07 12:00 AM EDT,0.535,0.0005,0.9705,0.9995,no,0.0,0.0,0.0
Belgium,United States,united-states-belgium,2026-07-06 08:00 PM EDT,2026-07-07 12:00 AM EDT,0.465,0.9995,0.9875,0.9765,yes,0.23442469597754573,0.003368279569892413,0.34109160201442157
Argentina,Egypt,argentina-egypt,2026-07-07 12:00 PM EDT,2026-07-07 04:00 PM EDT,0.865,0.9995,0.8215,0.8235,yes,1.0720585632022326,0.02975520231213874,3.622057493869597
Egypt,Argentina,argentina-egypt,2026-07-07 12:00 PM EDT,2026-07-07 04:00 PM EDT,0.135,0.0005,0.9975,0.9995,no,0.0,0.0,0.0
Switzerland,Colombia,switzerland-colombia,2026-07-07 04:00 PM EDT,2026-07-07 08:00 PM EDT,0.405,0.9995,0.9905,0.9785,yes,0.1394803240228359,0.0019450617283949811,0.19637170402776183
Colombia,Switzerland,switzerland-colombia,2026-07-07 04:00 PM EDT,2026-07-07 08:00 PM EDT,0.595,0.0005,0.9645,0.9995,no,0.0,0.0,0.0
France,Morocco,france-morocco,2026-07-09 04:00 PM EDT,2026-07-09 08:00 PM EDT,0.77625,0.99875,0.6785,0.6125,yes,0.283799605081518,0.026152979066022597,3.854528970673927
Morocco,France,france-morocco,2026-07-09 04:00 PM EDT,2026-07-09 08:00 PM EDT,0.22375,0.00125,0.9685,0.9995,no,0.0,0.0,0.0
Spain,Belgium,spain-belgium,2026-07-10 03:00 PM EDT,2026-07-10 07:00 PM EDT,0.73125,0.99875,0.8305,0.7895,yes,0.33876437019270483,0.021005128205128176,2.5292147146451747
Belgium,Spain,spain-belgium,2026-07-10 03:00 PM EDT,2026-07-10 07:00 PM EDT,0.26875,0.00125,0.9795,0.9995,no,0.0,0.0,0.0
Norway,England,norway-england,2026-07-11 05:00 PM EDT,2026-07-11 09:00 PM EDT,0.32375,0.00125,0.9455,0.9995,no,0.0,0.0,0.0
England,Norway,norway-england,2026-07-11 05:00 PM EDT,2026-07-11 09:00 PM EDT,0.67625,0.99875,0.8565,0.7995,yes,0.16708532533830225,0.011434380776340042,1.3350123498353814
Argentina,Switzerland,argentina-switzerland,2026-07-11 09:00 PM EDT,2026-07-12 01:00 AM EDT,0.75375,0.99875,0.8205,0.8045,yes,0.7257688590756636,0.042344941956882265,5.160870439595644
Switzerland,Argentina,argentina-switzerland,2026-07-11 09:00 PM EDT,2026-07-12 01:00 AM EDT,0.24625,0.00125,0.9845,0.9995,no,0.0,0.0,0.0
France,Spain,france-spain,2026-07-14 03:00 PM EDT,2026-07-14 07:00 PM EDT,0.55625,0.00125,0.6275,0.9995,no,0.0,0.0,0.0
Spain,France,france-spain,2026-07-14 03:00 PM EDT,2026-07-14 07:00 PM EDT,0.44375,0.99875,0.77,0.4185,yes,-0.2219202898550724,-0.06383802816901407,-8.290653008962865
England,Argentina,england-argentina,2026-07-15 03:00 PM EDT,2026-07-15 07:00 PM EDT,0.53625,0.00125,0.7725,0.9995,no,0.0,0.0,0.0
Argentina,England,england-argentina,2026-07-15 03:00 PM EDT,2026-07-15 07:00 PM EDT,0.46375,0.99875,0.8045,0.5785,yes,-0.002055596720605967,-0.00046361185983823106,-0.057627328755529034
France,England,france-england,2026-07-18 05:00 PM EDT,2026-07-18 09:00 PM EDT,0.695,0.0005,0.9995,0.9995,no,0.0,0.0,0.0
England,France,france-england,2026-07-18 05:00 PM EDT,2026-07-18 09:00 PM EDT,0.305,0.9995,0.9995,0.9995,yes,1.0,0.001138524590163809,0.11390941372324252
Spain,Argentina,spain-argentina,2026-07-19 03:00 PM EDT,2026-07-19 07:00 PM EDT,0.58625,0.99875,0.4155,0.0005,yes,-0.009072763563781689,-0.003731343283582156,-0.8980368913555129
Argentina,Spain,spain-argentina,2026-07-19 03:00 PM EDT,2026-07-19 07:00 PM EDT,0.41375,0.00125,0.5825,0.9995,no,0.0,0.0,0.0
