country,matches_played,matches_won,avg_profit_per_100
Algeria,1,0,
Argentina,5,4,3.3462214730035216
Australia,1,0,
Austria,1,0,
Belgium,3,2,0.5405919208730844
Bosnia-Herzegovina,1,0,
Brazil,2,1,1.648479384227919
Canada,2,1,-0.04037524818696802
Cape Verde,1,0,
Colombia,2,1,0.14409810283059943
Congo DR,1,0,
Croatia,1,0,
Ecuador,1,0,
Egypt,2,1,0.001977756550788844
England,5,4,1.4382957266747374
France,5,3,2.7307533754558215
Germany,1,0,
Ghana,1,0,
Ivory Coast,1,0,
Japan,1,0,
Mexico,2,1,0.1309164969450163
Morocco,3,2,0.31205651284900465
Netherlands,1,0,
Norway,3,2,0.7998207255705867
Paraguay,2,1,0.12024530783906925
Portugal,2,1,3.1478166440584925
Senegal,1,0,
South Africa,1,0,
Spain,5,5,-1.0027407548346303
Sweden,1,0,
Switzerland,3,2,0.0853573213617091
United States,2,1,0.7018729156833164
