threshold_percent,qualifying_hedges,trade_count,total_pnl,pnl_per_hedge,return_on_stake,max_drawdown
0,64,256,28.577009,0.446516,0.004465,0.001017
1,64,256,28.577009,0.446516,0.004465,0.001017
2,64,256,28.577009,0.446516,0.004465,0.001017
3,64,256,28.577009,0.446516,0.004465,0.001017
4,64,256,28.577009,0.446516,0.004465,0.001017
5,64,256,28.577009,0.446516,0.004465,0.001017
6,64,256,28.577009,0.446516,0.004465,0.001017
7,63,252,28.627009,0.454397,0.004544,0.001017
8,62,248,28.677009,0.462532,0.004625,0.001017
9,62,248,28.677009,0.462532,0.004625,0.001017
10,62,248,28.677009,0.462532,0.004625,0.001017
11,62,248,28.677009,0.462532,0.004625,0.001017
12,62,248,28.677009,0.462532,0.004625,0.001017
13,60,240,28.777009,0.479617,0.004796,0.001017
14,58,232,28.706638,0.494942,0.004949,0.001017
15,57,228,28.756638,0.504502,0.005045,0.001017
16,57,228,28.756638,0.504502,0.005045,0.001017
17,56,224,28.806638,0.514404,0.005144,0.001017
18,56,224,28.806638,0.514404,0.005144,0.001017
19,56,224,28.806638,0.514404,0.005144,0.001017
20,55,220,28.856638,0.524666,0.005247,0.001017
21,55,220,28.856638,0.524666,0.005247,0.001017
22,55,220,28.856638,0.524666,0.005247,0.001017
23,54,216,28.906638,0.535308,0.005353,0.001017
24,54,216,28.906638,0.535308,0.005353,0.001017
25,53,212,28.956638,0.546352,0.005464,0.001017
26,53,212,28.956638,0.546352,0.005464,0.001017
27,52,208,29.006638,0.557820,0.005578,0.001017
28,51,204,29.056638,0.569738,0.005697,0.001017
29,47,188,28.516287,0.606730,0.006067,0.001017
30,47,188,28.516287,0.606730,0.006067,0.001017
31,46,184,28.352353,0.616356,0.006164,0.001043
32,46,184,28.352353,0.616356,0.006164,0.001043
33,45,180,28.402353,0.631163,0.006312,0.001043
34,43,172,28.502353,0.662845,0.006628,0.001043
35,42,168,28.552353,0.679818,0.006798,0.001043
36,42,168,28.552353,0.679818,0.006798,0.001043
37,42,168,28.552353,0.679818,0.006798,0.001043
38,41,164,28.602353,0.697618,0.006976,0.001043
39,40,160,28.652353,0.716309,0.007163,0.001043
40,40,160,28.652353,0.716309,0.007163,0.001043
41,38,152,28.506674,0.750176,0.007502,0.001043
42,36,144,29.353662,0.815379,0.008154,0.001035
43,36,144,29.353662,0.815379,0.008154,0.001035
44,36,144,29.353662,0.815379,0.008154,0.001035
45,35,140,35.672676,1.019219,0.010192,0.000115
46,35,140,35.672676,1.019219,0.010192,0.000115
47,33,132,35.328170,1.070551,0.010706,0.000115
48,32,128,35.378170,1.105568,0.011056,0.000115
49,32,128,35.378170,1.105568,0.011056,0.000115
50,32,128,35.378170,1.105568,0.011056,0.000115
51,32,128,35.378170,1.105568,0.011056,0.000115
52,32,128,35.378170,1.105568,0.011056,0.000115
53,31,124,33.913884,1.093996,0.010940,0.000115
54,29,116,34.013884,1.172893,0.011729,0.000115
55,29,116,34.013884,1.172893,0.011729,0.000115
56,28,112,34.063884,1.216567,0.012166,0.000115
57,28,112,34.063884,1.216567,0.012166,0.000115
58,28,112,34.063884,1.216567,0.012166,0.000115
59,26,104,34.362392,1.321630,0.013216,0.000115
60,24,96,34.410291,1.433762,0.014338,0.000115
61,24,96,34.410291,1.433762,0.014338,0.000115
62,23,92,33.326957,1.448998,0.014490,0.000123
63,22,88,33.296957,1.513498,0.015135,0.000123
64,22,88,33.296957,1.513498,0.015135,0.000123
65,22,88,33.296957,1.513498,0.015135,0.000123
66,21,84,31.723293,1.510633,0.015106,0.000123
67,19,76,31.017326,1.632491,0.016325,0.000123
68,18,72,29.347363,1.630409,0.016304,0.000123
69,18,72,29.347363,1.630409,0.016304,0.000123
70,17,68,29.347363,1.726315,0.017263,0.000123
71,17,68,29.347363,1.726315,0.017263,0.000123
72,13,52,26.490020,2.037694,0.020377,0.000123
73,12,48,23.144511,1.928709,0.019287,0.000123
74,11,44,21.015024,1.910457,0.019105,0.000123
75,11,44,21.015024,1.910457,0.019105,0.000123
76,10,40,16.450762,1.645076,0.016451,0.000123
77,10,40,16.450762,1.645076,0.016451,0.000123
78,9,36,13.883692,1.542632,0.015426,0.000123
79,9,36,13.883692,1.542632,0.015426,0.000123
80,9,36,13.883692,1.542632,0.015426,0.000123
81,8,32,13.741767,1.717721,0.017177,0.000123
82,8,32,13.741767,1.717721,0.017177,0.000123
83,8,32,13.741767,1.717721,0.017177,0.000123
84,7,28,12.958833,1.851262,0.018513,0.000123
85,7,28,12.958833,1.851262,0.018513,0.000123
86,6,24,13.078906,2.179818,0.021798,0.000123
87,4,16,9.443068,2.360767,0.023608,0.000115
88,2,8,7.414496,3.707248,0.037072,0.000000
89,2,8,7.414496,3.707248,0.037072,0.000000
90,2,8,7.414496,3.707248,0.037072,0.000000
91,2,8,7.414496,3.707248,0.037072,0.000000
92,2,8,7.414496,3.707248,0.037072,0.000000
93,1,4,3.959091,3.959091,0.039591,0.000000
94,0,0,0.000000,,,0.000000
95,0,0,0.000000,,,0.000000
96,0,0,0.000000,,,0.000000
97,0,0,0.000000,,,0.000000
98,0,0,0.000000,,,0.000000
99,0,0,0.000000,,,0.000000
100,0,0,0.000000,,,0.000000
