threshold_percent,qualifying_hedges,trade_count,total_pnl,pnl_per_hedge,return_on_stake,max_drawdown
0,12,48,-18.794737,-1.566228,-0.015662,0.016748
1,12,48,-18.794737,-1.566228,-0.015662,0.016748
2,12,48,-18.794737,-1.566228,-0.015662,0.016748
3,12,48,-18.794737,-1.566228,-0.015662,0.016748
4,12,48,-18.794737,-1.566228,-0.015662,0.016748
5,12,48,-18.794737,-1.566228,-0.015662,0.016748
6,12,48,-18.794737,-1.566228,-0.015662,0.016748
7,12,48,-18.794737,-1.566228,-0.015662,0.016748
8,12,48,-18.794737,-1.566228,-0.015662,0.016748
9,12,48,-18.794737,-1.566228,-0.015662,0.016748
10,12,48,-18.794737,-1.566228,-0.015662,0.016748
11,12,48,-18.794737,-1.566228,-0.015662,0.016748
12,12,48,-18.794737,-1.566228,-0.015662,0.016748
13,12,48,-18.794737,-1.566228,-0.015662,0.016748
14,11,44,-2.905848,-0.264168,-0.002642,0.003522
15,11,44,-2.905848,-0.264168,-0.002642,0.003522
16,11,44,-2.905848,-0.264168,-0.002642,0.003522
17,11,44,-2.905848,-0.264168,-0.002642,0.003522
18,11,44,-2.905848,-0.264168,-0.002642,0.003522
19,11,44,-2.905848,-0.264168,-0.002642,0.003522
20,11,44,-2.905848,-0.264168,-0.002642,0.003522
21,10,40,-2.855848,-0.285585,-0.002856,0.003522
22,10,40,-2.855848,-0.285585,-0.002856,0.003522
23,10,40,-2.855848,-0.285585,-0.002856,0.003522
24,10,40,-2.855848,-0.285585,-0.002856,0.003522
25,10,40,-2.855848,-0.285585,-0.002856,0.003522
26,10,40,-2.855848,-0.285585,-0.002856,0.003522
27,10,40,-2.855848,-0.285585,-0.002856,0.003522
28,10,40,-2.855848,-0.285585,-0.002856,0.003522
29,9,36,-2.805848,-0.311761,-0.003118,0.003480
30,9,36,-2.805848,-0.311761,-0.003118,0.003480
31,8,32,-2.755848,-0.344481,-0.003445,0.003438
32,8,32,-2.755848,-0.344481,-0.003445,0.003438
33,8,32,-2.755848,-0.344481,-0.003445,0.003438
34,8,32,-2.755848,-0.344481,-0.003445,0.003438
35,8,32,-2.755848,-0.344481,-0.003445,0.003438
36,8,32,-2.755848,-0.344481,-0.003445,0.003438
37,7,28,-2.705848,-0.386550,-0.003865,0.003397
38,7,28,-2.705848,-0.386550,-0.003865,0.003397
39,7,28,-2.705848,-0.386550,-0.003865,0.003397
40,7,28,-2.705848,-0.386550,-0.003865,0.003397
41,7,28,-2.705848,-0.386550,-0.003865,0.003397
42,7,28,-2.705848,-0.386550,-0.003865,0.003397
43,7,28,-2.705848,-0.386550,-0.003865,0.003397
44,7,28,-2.705848,-0.386550,-0.003865,0.003397
45,7,28,-2.705848,-0.386550,-0.003865,0.003397
46,7,28,-2.705848,-0.386550,-0.003865,0.003397
47,6,24,-4.205848,-0.700975,-0.007010,0.004645
48,6,24,-4.205848,-0.700975,-0.007010,0.004645
49,6,24,-4.205848,-0.700975,-0.007010,0.004645
50,6,24,-4.205848,-0.700975,-0.007010,0.004645
51,6,24,-4.205848,-0.700975,-0.007010,0.004645
52,6,24,-4.205848,-0.700975,-0.007010,0.004645
53,6,24,-4.205848,-0.700975,-0.007010,0.004645
54,6,24,-4.205848,-0.700975,-0.007010,0.004645
55,5,20,-4.155848,-0.831170,-0.008312,0.004604
56,5,20,-4.155848,-0.831170,-0.008312,0.004604
57,5,20,-4.155848,-0.831170,-0.008312,0.004604
58,5,20,-4.155848,-0.831170,-0.008312,0.004604
59,5,20,-4.155848,-0.831170,-0.008312,0.004604
60,5,20,-4.155848,-0.831170,-0.008312,0.004604
61,5,20,-4.155848,-0.831170,-0.008312,0.004604
62,5,20,-4.155848,-0.831170,-0.008312,0.004604
63,5,20,-4.155848,-0.831170,-0.008312,0.004604
64,5,20,-4.155848,-0.831170,-0.008312,0.004604
65,4,16,-1.362098,-0.340525,-0.003405,0.002278
66,4,16,-1.362098,-0.340525,-0.003405,0.002278
67,4,16,-1.362098,-0.340525,-0.003405,0.002278
68,4,16,-1.362098,-0.340525,-0.003405,0.002278
69,4,16,-1.362098,-0.340525,-0.003405,0.002278
70,3,12,-1.335839,-0.445280,-0.004453,0.002256
71,3,12,-1.335839,-0.445280,-0.004453,0.002256
72,2,8,1.325000,0.662500,0.006625,0.000042
73,2,8,1.325000,0.662500,0.006625,0.000042
74,2,8,1.325000,0.662500,0.006625,0.000042
75,2,8,1.325000,0.662500,0.006625,0.000042
76,2,8,1.325000,0.662500,0.006625,0.000042
77,2,8,1.325000,0.662500,0.006625,0.000042
78,2,8,1.325000,0.662500,0.006625,0.000042
79,2,8,1.325000,0.662500,0.006625,0.000042
80,2,8,1.325000,0.662500,0.006625,0.000042
81,1,4,-0.050000,-0.050000,-0.000500,0.000042
82,1,4,-0.050000,-0.050000,-0.000500,0.000042
83,1,4,-0.050000,-0.050000,-0.000500,0.000042
84,1,4,-0.050000,-0.050000,-0.000500,0.000042
85,1,4,-0.050000,-0.050000,-0.000500,0.000042
86,1,4,-0.050000,-0.050000,-0.000500,0.000042
87,0,0,0.000000,,,0.000000
88,0,0,0.000000,,,0.000000
89,0,0,0.000000,,,0.000000
90,0,0,0.000000,,,0.000000
91,0,0,0.000000,,,0.000000
92,0,0,0.000000,,,0.000000
93,0,0,0.000000,,,0.000000
94,0,0,0.000000,,,0.000000
95,0,0,0.000000,,,0.000000
96,0,0,0.000000,,,0.000000
97,0,0,0.000000,,,0.000000
98,0,0,0.000000,,,0.000000
99,0,0,0.000000,,,0.000000
100,0,0,0.000000,,,0.000000
