threshold_percent,qualifying_hedges,trade_count,total_pnl,pnl_per_hedge,return_on_stake,max_drawdown
0,18,72,-0.443102,-0.024617,-0.000246,0.005813
1,18,72,-0.443102,-0.024617,-0.000246,0.005813
2,18,72,-0.443102,-0.024617,-0.000246,0.005813
3,18,72,-0.443102,-0.024617,-0.000246,0.005813
4,18,72,-0.443102,-0.024617,-0.000246,0.005813
5,18,72,-0.443102,-0.024617,-0.000246,0.005813
6,18,72,-0.443102,-0.024617,-0.000246,0.005813
7,18,72,-0.443102,-0.024617,-0.000246,0.005813
8,18,72,-0.443102,-0.024617,-0.000246,0.005813
9,18,72,-0.443102,-0.024617,-0.000246,0.005813
10,18,72,-0.443102,-0.024617,-0.000246,0.005813
11,18,72,-0.443102,-0.024617,-0.000246,0.005813
12,18,72,-0.443102,-0.024617,-0.000246,0.005813
13,18,72,-0.443102,-0.024617,-0.000246,0.005813
14,18,72,-0.443102,-0.024617,-0.000246,0.005813
15,18,72,-0.443102,-0.024617,-0.000246,0.005813
16,18,72,-0.443102,-0.024617,-0.000246,0.005813
17,18,72,-0.443102,-0.024617,-0.000246,0.005813
18,18,72,-0.443102,-0.024617,-0.000246,0.005813
19,18,72,-0.443102,-0.024617,-0.000246,0.005813
20,18,72,-0.443102,-0.024617,-0.000246,0.005813
21,18,72,-0.443102,-0.024617,-0.000246,0.005813
22,18,72,-0.443102,-0.024617,-0.000246,0.005813
23,18,72,-0.443102,-0.024617,-0.000246,0.005813
24,18,72,-0.443102,-0.024617,-0.000246,0.005813
25,18,72,-0.443102,-0.024617,-0.000246,0.005813
26,18,72,-0.443102,-0.024617,-0.000246,0.005813
27,18,72,-0.443102,-0.024617,-0.000246,0.005813
28,17,68,-0.393102,-0.023124,-0.000231,0.005813
29,16,64,-0.343102,-0.021444,-0.000214,0.005785
30,16,64,-0.343102,-0.021444,-0.000214,0.005785
31,16,64,-0.343102,-0.021444,-0.000214,0.005785
32,16,64,-0.343102,-0.021444,-0.000214,0.005785
33,16,64,-0.343102,-0.021444,-0.000214,0.005785
34,16,64,-0.343102,-0.021444,-0.000214,0.005785
35,16,64,-0.343102,-0.021444,-0.000214,0.005785
36,16,64,-0.343102,-0.021444,-0.000214,0.005785
37,16,64,-0.343102,-0.021444,-0.000214,0.005785
38,15,60,-0.293102,-0.019540,-0.000195,0.005785
39,15,60,-0.293102,-0.019540,-0.000195,0.005785
40,15,60,-0.293102,-0.019540,-0.000195,0.005785
41,14,56,-0.243102,-0.017364,-0.000174,0.005785
42,13,52,-3.527440,-0.271342,-0.002713,0.005796
43,12,48,-3.477440,-0.289787,-0.002898,0.005795
44,12,48,-3.477440,-0.289787,-0.002898,0.005795
45,12,48,-3.477440,-0.289787,-0.002898,0.005795
46,10,40,-3.377440,-0.337744,-0.003377,0.005795
47,9,36,-3.327440,-0.369716,-0.003697,0.005795
48,9,36,-3.327440,-0.369716,-0.003697,0.005795
49,9,36,-3.327440,-0.369716,-0.003697,0.005795
50,9,36,-3.327440,-0.369716,-0.003697,0.005795
51,9,36,-3.327440,-0.369716,-0.003697,0.005795
52,9,36,-3.327440,-0.369716,-0.003697,0.005795
53,9,36,-3.327440,-0.369716,-0.003697,0.005795
54,8,32,-5.525103,-0.690638,-0.006906,0.005802
55,6,24,-6.904461,-1.150744,-0.011507,0.005806
56,6,24,-6.904461,-1.150744,-0.011507,0.005806
57,6,24,-6.904461,-1.150744,-0.011507,0.005806
58,6,24,-6.904461,-1.150744,-0.011507,0.005806
59,4,16,-5.285496,-1.321374,-0.013214,0.005801
60,3,12,-12.290117,-4.096706,-0.040967,0.007160
61,3,12,-12.290117,-4.096706,-0.040967,0.007160
62,3,12,-12.290117,-4.096706,-0.040967,0.007160
63,3,12,-12.290117,-4.096706,-0.040967,0.007160
64,2,8,-9.869482,-4.934741,-0.049347,0.005816
65,2,8,-9.869482,-4.934741,-0.049347,0.005816
66,2,8,-9.869482,-4.934741,-0.049347,0.005816
67,2,8,-9.869482,-4.934741,-0.049347,0.005816
68,2,8,-9.869482,-4.934741,-0.049347,0.005816
69,2,8,-9.869482,-4.934741,-0.049347,0.005816
70,2,8,-9.869482,-4.934741,-0.049347,0.005816
71,2,8,-9.869482,-4.934741,-0.049347,0.005816
72,2,8,-9.869482,-4.934741,-0.049347,0.005816
73,1,4,0.602740,0.602740,0.006027,0.000000
74,0,0,0.000000,,,0.000000
75,0,0,0.000000,,,0.000000
76,0,0,0.000000,,,0.000000
77,0,0,0.000000,,,0.000000
78,0,0,0.000000,,,0.000000
79,0,0,0.000000,,,0.000000
80,0,0,0.000000,,,0.000000
81,0,0,0.000000,,,0.000000
82,0,0,0.000000,,,0.000000
83,0,0,0.000000,,,0.000000
84,0,0,0.000000,,,0.000000
85,0,0,0.000000,,,0.000000
86,0,0,0.000000,,,0.000000
87,0,0,0.000000,,,0.000000
88,0,0,0.000000,,,0.000000
89,0,0,0.000000,,,0.000000
90,0,0,0.000000,,,0.000000
91,0,0,0.000000,,,0.000000
92,0,0,0.000000,,,0.000000
93,0,0,0.000000,,,0.000000
94,0,0,0.000000,,,0.000000
95,0,0,0.000000,,,0.000000
96,0,0,0.000000,,,0.000000
97,0,0,0.000000,,,0.000000
98,0,0,0.000000,,,0.000000
99,0,0,0.000000,,,0.000000
100,0,0,0.000000,,,0.000000
