threshold_percent,qualifying_hedges,trade_count,total_pnl,pnl_per_hedge,return_on_stake,max_drawdown
0,28,112,-15.330830,-0.547530,-0.005475,0.009170
1,28,112,-15.330830,-0.547530,-0.005475,0.009170
2,28,112,-15.330830,-0.547530,-0.005475,0.009170
3,28,112,-15.330830,-0.547530,-0.005475,0.009170
4,27,108,-15.230830,-0.564105,-0.005641,0.009170
5,26,104,-15.180830,-0.583878,-0.005839,0.009170
6,25,100,-15.130830,-0.605233,-0.006052,0.009170
7,25,100,-15.130830,-0.605233,-0.006052,0.009170
8,25,100,-15.130830,-0.605233,-0.006052,0.009170
9,25,100,-15.130830,-0.605233,-0.006052,0.009170
10,25,100,-15.130830,-0.605233,-0.006052,0.009170
11,25,100,-15.130830,-0.605233,-0.006052,0.009170
12,25,100,-15.130830,-0.605233,-0.006052,0.009170
13,25,100,-15.130830,-0.605233,-0.006052,0.009170
14,24,96,-10.434533,-0.434772,-0.004348,0.007493
15,23,92,-10.384533,-0.451501,-0.004515,0.007475
16,23,92,-10.384533,-0.451501,-0.004515,0.007475
17,23,92,-10.384533,-0.451501,-0.004515,0.007475
18,23,92,-10.384533,-0.451501,-0.004515,0.007475
19,22,88,-6.511560,-0.295980,-0.002960,0.006092
20,22,88,-6.511560,-0.295980,-0.002960,0.006092
21,22,88,-6.511560,-0.295980,-0.002960,0.006092
22,21,84,-6.461560,-0.307693,-0.003077,0.006092
23,21,84,-6.461560,-0.307693,-0.003077,0.006092
24,21,84,-6.461560,-0.307693,-0.003077,0.006092
25,20,80,-6.411560,-0.320578,-0.003206,0.006092
26,20,80,-6.411560,-0.320578,-0.003206,0.006092
27,20,80,-6.411560,-0.320578,-0.003206,0.006092
28,20,80,-6.411560,-0.320578,-0.003206,0.006092
29,20,80,-6.411560,-0.320578,-0.003206,0.006092
30,20,80,-6.411560,-0.320578,-0.003206,0.006092
31,20,80,-6.411560,-0.320578,-0.003206,0.006092
32,20,80,-6.411560,-0.320578,-0.003206,0.006092
33,20,80,-6.411560,-0.320578,-0.003206,0.006092
34,20,80,-6.411560,-0.320578,-0.003206,0.006092
35,20,80,-6.411560,-0.320578,-0.003206,0.006092
36,18,72,-4.682687,-0.260149,-0.002601,0.006071
37,18,72,-4.682687,-0.260149,-0.002601,0.006071
38,18,72,-4.682687,-0.260149,-0.002601,0.006071
39,17,68,-4.632687,-0.272511,-0.002725,0.006071
40,17,68,-4.632687,-0.272511,-0.002725,0.006071
41,15,60,-14.164786,-0.944319,-0.009443,0.006071
42,15,60,-14.164786,-0.944319,-0.009443,0.006071
43,15,60,-14.164786,-0.944319,-0.009443,0.006071
44,15,60,-14.164786,-0.944319,-0.009443,0.006071
45,15,60,-14.164786,-0.944319,-0.009443,0.006071
46,15,60,-14.164786,-0.944319,-0.009443,0.006071
47,15,60,-14.164786,-0.944319,-0.009443,0.006071
48,14,56,-16.064786,-1.147485,-0.011475,0.006075
49,14,56,-16.064786,-1.147485,-0.011475,0.006075
50,14,56,-16.064786,-1.147485,-0.011475,0.006075
51,14,56,-16.064786,-1.147485,-0.011475,0.006075
52,14,56,-16.064786,-1.147485,-0.011475,0.006075
53,13,52,-16.014786,-1.231907,-0.012319,0.006075
54,13,52,-16.014786,-1.231907,-0.012319,0.006075
55,13,52,-16.014786,-1.231907,-0.012319,0.006075
56,13,52,-16.014786,-1.231907,-0.012319,0.006075
57,13,52,-16.014786,-1.231907,-0.012319,0.006075
58,13,52,-16.014786,-1.231907,-0.012319,0.006075
59,13,52,-16.014786,-1.231907,-0.012319,0.006075
60,11,44,-15.741256,-1.431023,-0.014310,0.006074
61,11,44,-15.741256,-1.431023,-0.014310,0.006074
62,10,40,-16.170525,-1.617052,-0.016171,0.006099
63,10,40,-16.170525,-1.617052,-0.016171,0.006099
64,10,40,-16.170525,-1.617052,-0.016171,0.006099
65,9,36,-16.120525,-1.791169,-0.017912,0.006081
66,8,32,-11.612832,-1.451604,-0.014516,0.004471
67,8,32,-11.612832,-1.451604,-0.014516,0.004471
68,8,32,-11.612832,-1.451604,-0.014516,0.004471
69,8,32,-11.612832,-1.451604,-0.014516,0.004471
70,8,32,-11.612832,-1.451604,-0.014516,0.004471
71,8,32,-11.612832,-1.451604,-0.014516,0.004471
72,8,32,-11.612832,-1.451604,-0.014516,0.004471
73,8,32,-11.612832,-1.451604,-0.014516,0.004471
74,8,32,-11.612832,-1.451604,-0.014516,0.004471
75,8,32,-11.612832,-1.451604,-0.014516,0.004471
76,7,28,-11.745283,-1.677898,-0.016779,0.004471
77,7,28,-11.745283,-1.677898,-0.016779,0.004471
78,7,28,-11.745283,-1.677898,-0.016779,0.004471
