threshold_percent,qualifying_hedges,trade_count,total_pnl,pnl_per_hedge,return_on_stake,max_drawdown
0,28,112,13.779258,0.492116,0.004921,0.001990
1,28,112,13.779258,0.492116,0.004921,0.001990
2,28,112,13.779258,0.492116,0.004921,0.001990
3,27,108,13.829258,0.512195,0.005122,0.001972
4,27,108,13.829258,0.512195,0.005122,0.001972
5,27,108,13.829258,0.512195,0.005122,0.001972
6,27,108,13.829258,0.512195,0.005122,0.001972
7,25,100,14.771566,0.590863,0.005909,0.001972
8,24,96,14.821566,0.617565,0.006176,0.001954
9,24,96,14.821566,0.617565,0.006176,0.001954
10,24,96,14.821566,0.617565,0.006176,0.001954
11,24,96,14.821566,0.617565,0.006176,0.001954
12,24,96,14.821566,0.617565,0.006176,0.001954
13,24,96,14.821566,0.617565,0.006176,0.001954
14,24,96,14.821566,0.617565,0.006176,0.001954
15,24,96,14.821566,0.617565,0.006176,0.001954
16,24,96,14.821566,0.617565,0.006176,0.001954
17,23,92,14.871566,0.646590,0.006466,0.001954
18,22,88,14.921566,0.678253,0.006783,0.001954
19,22,88,14.921566,0.678253,0.006783,0.001954
20,22,88,14.921566,0.678253,0.006783,0.001954
21,22,88,14.921566,0.678253,0.006783,0.001954
22,22,88,14.921566,0.678253,0.006783,0.001954
23,22,88,14.921566,0.678253,0.006783,0.001954
24,21,84,14.971566,0.712932,0.007129,0.001936
25,20,80,11.931770,0.596589,0.005966,0.001954
26,20,80,11.931770,0.596589,0.005966,0.001954
27,20,80,11.931770,0.596589,0.005966,0.001954
28,18,72,8.620659,0.478925,0.004789,0.002040
29,18,72,8.620659,0.478925,0.004789,0.002040
30,17,68,8.670659,0.510039,0.005100,0.002040
31,16,64,0.561643,0.035103,0.000351,0.002040
32,16,64,0.561643,0.035103,0.000351,0.002040
33,16,64,0.561643,0.035103,0.000351,0.002040
34,16,64,0.561643,0.035103,0.000351,0.002040
35,16,64,0.561643,0.035103,0.000351,0.002040
36,16,64,0.561643,0.035103,0.000351,0.002040
37,16,64,0.561643,0.035103,0.000351,0.002040
38,15,60,0.611643,0.040776,0.000408,0.002040
39,15,60,0.611643,0.040776,0.000408,0.002040
40,15,60,0.611643,0.040776,0.000408,0.002040
41,15,60,0.611643,0.040776,0.000408,0.002040
42,15,60,0.611643,0.040776,0.000408,0.002040
43,15,60,0.611643,0.040776,0.000408,0.002040
44,15,60,0.611643,0.040776,0.000408,0.002040
45,15,60,0.611643,0.040776,0.000408,0.002040
46,15,60,0.611643,0.040776,0.000408,0.002040
47,14,56,-4.040508,-0.288608,-0.002886,0.002040
48,14,56,-4.040508,-0.288608,-0.002886,0.002040
49,14,56,-4.040508,-0.288608,-0.002886,0.002040
50,14,56,-4.040508,-0.288608,-0.002886,0.002040
51,14,56,-4.040508,-0.288608,-0.002886,0.002040
52,14,56,-4.040508,-0.288608,-0.002886,0.002040
53,14,56,-4.040508,-0.288608,-0.002886,0.002040
54,13,52,-3.990508,-0.306962,-0.003070,0.002040
55,13,52,-3.990508,-0.306962,-0.003070,0.002040
56,13,52,-3.990508,-0.306962,-0.003070,0.002040
57,13,52,-3.990508,-0.306962,-0.003070,0.002040
58,13,52,-3.990508,-0.306962,-0.003070,0.002040
59,13,52,-3.990508,-0.306962,-0.003070,0.002040
60,13,52,-3.990508,-0.306962,-0.003070,0.002040
61,13,52,-3.990508,-0.306962,-0.003070,0.002040
62,13,52,-3.990508,-0.306962,-0.003070,0.002040
63,12,48,-4.590508,-0.382542,-0.003825,0.002040
64,12,48,-4.590508,-0.382542,-0.003825,0.002040
65,12,48,-4.590508,-0.382542,-0.003825,0.002040
66,12,48,-4.590508,-0.382542,-0.003825,0.002040
67,12,48,-4.590508,-0.382542,-0.003825,0.002040
68,12,48,-4.590508,-0.382542,-0.003825,0.002040
69,12,48,-4.590508,-0.382542,-0.003825,0.002040
70,12,48,-4.590508,-0.382542,-0.003825,0.002040
71,10,40,0.066939,0.006694,0.000067,0.002040
72,10,40,0.066939,0.006694,0.000067,0.002040
73,9,36,-1.326165,-0.147352,-0.001474,0.002040
74,8,32,-1.276165,-0.159521,-0.001595,0.002022
75,8,32,-1.276165,-0.159521,-0.001595,0.002022
76,7,28,-1.226165,-0.175166,-0.001752,0.002004
77,7,28,-1.226165,-0.175166,-0.001752,0.002004
78,6,24,-0.381359,-0.063560,-0.000636,0.001703
79,6,24,-0.381359,-0.063560,-0.000636,0.001703
80,6,24,-0.381359,-0.063560,-0.000636,0.001703
81,6,24,-0.381359,-0.063560,-0.000636,0.001703
82,6,24,-0.381359,-0.063560,-0.000636,0.001703
83,5,20,-1.491965,-0.298393,-0.002984,0.001703
84,4,16,-1.351546,-0.337887,-0.003379,0.001652
85,4,16,-1.351546,-0.337887,-0.003379,0.001652
86,4,16,-1.351546,-0.337887,-0.003379,0.001652
87,4,16,-1.351546,-0.337887,-0.003379,0.001652
88,4,16,-1.351546,-0.337887,-0.003379,0.001652
89,4,16,-1.351546,-0.337887,-0.003379,0.001652
90,4,16,-1.351546,-0.337887,-0.003379,0.001652
91,4,16,-1.351546,-0.337887,-0.003379,0.001652
92,4,16,-1.351546,-0.337887,-0.003379,0.001652
93,4,16,-1.351546,-0.337887,-0.003379,0.001652
94,1,4,-2.757055,-2.757055,-0.027571,0.000985
95,1,4,-2.757055,-2.757055,-0.027571,0.000985
96,1,4,-2.757055,-2.757055,-0.027571,0.000985
97,1,4,-2.757055,-2.757055,-0.027571,0.000985
98,0,0,0.000000,,,0.000000
99,0,0,0.000000,,,0.000000
100,0,0,0.000000,,,0.000000
