threshold_percent,qualifying_hedges,trade_count,total_pnl,pnl_per_hedge,return_on_stake,max_drawdown
0,24,96,18.041081,0.751712,0.007517,0.002972
1,24,96,18.041081,0.751712,0.007517,0.002972
2,24,96,18.041081,0.751712,0.007517,0.002972
3,24,96,18.041081,0.751712,0.007517,0.002972
4,24,96,18.041081,0.751712,0.007517,0.002972
5,24,96,18.041081,0.751712,0.007517,0.002972
6,24,96,18.041081,0.751712,0.007517,0.002972
7,24,96,18.041081,0.751712,0.007517,0.002972
8,24,96,18.041081,0.751712,0.007517,0.002972
9,24,96,18.041081,0.751712,0.007517,0.002972
10,24,96,18.041081,0.751712,0.007517,0.002972
11,24,96,18.041081,0.751712,0.007517,0.002972
12,24,96,18.041081,0.751712,0.007517,0.002972
13,24,96,18.041081,0.751712,0.007517,0.002972
14,24,96,18.041081,0.751712,0.007517,0.002972
15,24,96,18.041081,0.751712,0.007517,0.002972
16,24,96,18.041081,0.751712,0.007517,0.002972
17,24,96,18.041081,0.751712,0.007517,0.002972
18,24,96,18.041081,0.751712,0.007517,0.002972
19,23,92,18.091081,0.786569,0.007866,0.002972
20,23,92,18.091081,0.786569,0.007866,0.002972
21,23,92,18.091081,0.786569,0.007866,0.002972
22,23,92,18.091081,0.786569,0.007866,0.002972
23,23,92,18.091081,0.786569,0.007866,0.002972
24,23,92,18.091081,0.786569,0.007866,0.002972
25,23,92,18.091081,0.786569,0.007866,0.002972
26,23,92,18.091081,0.786569,0.007866,0.002972
27,23,92,18.091081,0.786569,0.007866,0.002972
28,22,88,18.141081,0.824595,0.008246,0.002952
29,22,88,18.141081,0.824595,0.008246,0.002952
30,22,88,18.141081,0.824595,0.008246,0.002952
31,22,88,18.141081,0.824595,0.008246,0.002952
32,21,84,13.723621,0.653506,0.006535,0.002957
33,21,84,13.723621,0.653506,0.006535,0.002957
34,21,84,13.723621,0.653506,0.006535,0.002957
35,19,76,13.823621,0.727559,0.007276,0.002957
36,18,72,13.873621,0.770757,0.007708,0.002957
37,17,68,13.923621,0.819037,0.008190,0.002936
38,17,68,13.923621,0.819037,0.008190,0.002936
39,17,68,13.923621,0.819037,0.008190,0.002936
40,17,68,13.923621,0.819037,0.008190,0.002936
41,16,64,13.973621,0.873351,0.008734,0.002936
42,16,64,13.973621,0.873351,0.008734,0.002936
43,16,64,13.973621,0.873351,0.008734,0.002936
44,16,64,13.973621,0.873351,0.008734,0.002936
45,15,60,14.023621,0.934908,0.009349,0.002936
46,13,52,9.178016,0.706001,0.007060,0.002942
47,12,48,9.228016,0.769001,0.007690,0.002942
48,12,48,9.228016,0.769001,0.007690,0.002942
49,12,48,9.228016,0.769001,0.007690,0.002942
50,12,48,9.228016,0.769001,0.007690,0.002942
51,12,48,9.228016,0.769001,0.007690,0.002942
52,12,48,9.228016,0.769001,0.007690,0.002942
53,12,48,9.228016,0.769001,0.007690,0.002942
54,11,44,-2.161236,-0.196476,-0.001965,0.002956
55,9,36,-2.061236,-0.229026,-0.002290,0.002956
56,8,32,-0.006731,-0.000841,-0.000008,0.002956
57,8,32,-0.006731,-0.000841,-0.000008,0.002956
58,8,32,-0.006731,-0.000841,-0.000008,0.002956
59,8,32,-0.006731,-0.000841,-0.000008,0.002956
60,7,28,-1.944967,-0.277852,-0.002779,0.003239
61,7,28,-1.944967,-0.277852,-0.002779,0.003239
62,7,28,-1.944967,-0.277852,-0.002779,0.003239
63,7,28,-1.944967,-0.277852,-0.002779,0.003239
64,6,24,-0.937880,-0.156313,-0.001563,0.002820
65,5,20,-0.311136,-0.062227,-0.000622,0.002559
66,3,12,-3.739380,-1.246460,-0.012465,0.002559
67,3,12,-3.739380,-1.246460,-0.012465,0.002559
68,3,12,-3.739380,-1.246460,-0.012465,0.002559
69,2,8,-3.689380,-1.844690,-0.018447,0.002538
70,2,8,-3.689380,-1.844690,-0.018447,0.002538
71,2,8,-3.689380,-1.844690,-0.018447,0.002538
72,2,8,-3.689380,-1.844690,-0.018447,0.002538
73,1,4,2.408896,2.408896,0.024089,0.000000
74,1,4,2.408896,2.408896,0.024089,0.000000
75,1,4,2.408896,2.408896,0.024089,0.000000
76,1,4,2.408896,2.408896,0.024089,0.000000
77,1,4,2.408896,2.408896,0.024089,0.000000
78,1,4,2.408896,2.408896,0.024089,0.000000
79,1,4,2.408896,2.408896,0.024089,0.000000
80,1,4,2.408896,2.408896,0.024089,0.000000
81,1,4,2.408896,2.408896,0.024089,0.000000
82,0,0,0.000000,,,0.000000
83,0,0,0.000000,,,0.000000
84,0,0,0.000000,,,0.000000
85,0,0,0.000000,,,0.000000
86,0,0,0.000000,,,0.000000
87,0,0,0.000000,,,0.000000
88,0,0,0.000000,,,0.000000
89,0,0,0.000000,,,0.000000
90,0,0,0.000000,,,0.000000
91,0,0,0.000000,,,0.000000
92,0,0,0.000000,,,0.000000
93,0,0,0.000000,,,0.000000
94,0,0,0.000000,,,0.000000
95,0,0,0.000000,,,0.000000
96,0,0,0.000000,,,0.000000
97,0,0,0.000000,,,0.000000
98,0,0,0.000000,,,0.000000
99,0,0,0.000000,,,0.000000
100,0,0,0.000000,,,0.000000
