threshold_percent,qualifying_hedges,trade_count,total_pnl,pnl_per_hedge,return_on_stake,max_drawdown
0,28,112,25.732091,0.919003,0.009190,0.002589
1,28,112,25.732091,0.919003,0.009190,0.002589
2,28,112,25.732091,0.919003,0.009190,0.002589
3,28,112,25.732091,0.919003,0.009190,0.002589
4,28,112,25.732091,0.919003,0.009190,0.002589
5,28,112,25.732091,0.919003,0.009190,0.002589
6,28,112,25.732091,0.919003,0.009190,0.002589
7,28,112,25.732091,0.919003,0.009190,0.002589
8,28,112,25.732091,0.919003,0.009190,0.002589
9,28,112,25.732091,0.919003,0.009190,0.002589
10,28,112,25.732091,0.919003,0.009190,0.002589
11,28,112,25.732091,0.919003,0.009190,0.002589
12,28,112,25.732091,0.919003,0.009190,0.002589
13,28,112,25.732091,0.919003,0.009190,0.002589
14,28,112,25.732091,0.919003,0.009190,0.002589
15,28,112,25.732091,0.919003,0.009190,0.002589
16,28,112,25.732091,0.919003,0.009190,0.002589
17,27,108,25.782091,0.954892,0.009549,0.002589
18,26,104,25.832091,0.993542,0.009935,0.002589
19,24,96,25.932091,1.080504,0.010805,0.002571
20,24,96,25.932091,1.080504,0.010805,0.002571
21,24,96,25.932091,1.080504,0.010805,0.002571
22,24,96,25.932091,1.080504,0.010805,0.002571
23,24,96,25.932091,1.080504,0.010805,0.002571
24,24,96,25.932091,1.080504,0.010805,0.002571
25,24,96,25.932091,1.080504,0.010805,0.002571
26,23,92,25.982091,1.129656,0.011297,0.002571
27,23,92,25.982091,1.129656,0.011297,0.002571
28,23,92,25.982091,1.129656,0.011297,0.002571
29,22,88,26.032091,1.183277,0.011833,0.002571
30,22,88,26.032091,1.183277,0.011833,0.002571
31,21,84,11.523894,0.548757,0.005488,0.002584
32,21,84,11.523894,0.548757,0.005488,0.002584
33,21,84,11.523894,0.548757,0.005488,0.002584
34,21,84,11.523894,0.548757,0.005488,0.002584
35,21,84,11.523894,0.548757,0.005488,0.002584
36,21,84,11.523894,0.548757,0.005488,0.002584
37,19,76,6.068338,0.319386,0.003194,0.002895
38,19,76,6.068338,0.319386,0.003194,0.002895
39,19,76,6.068338,0.319386,0.003194,0.002895
40,18,72,6.118338,0.339908,0.003399,0.002895
41,18,72,6.118338,0.339908,0.003399,0.002895
42,17,68,6.168338,0.362843,0.003628,0.002895
43,17,68,6.168338,0.362843,0.003628,0.002895
44,17,68,6.168338,0.362843,0.003628,0.002895
45,17,68,6.168338,0.362843,0.003628,0.002895
46,17,68,6.168338,0.362843,0.003628,0.002895
47,17,68,6.168338,0.362843,0.003628,0.002895
48,16,64,6.218338,0.388646,0.003886,0.002895
49,15,60,6.268338,0.417889,0.004179,0.002877
50,14,56,6.318338,0.451310,0.004513,0.002860
51,13,52,6.996556,0.538197,0.005382,0.002617
52,12,48,9.377624,0.781469,0.007815,0.001767
53,10,40,3.508394,0.350839,0.003508,0.001767
54,10,40,3.508394,0.350839,0.003508,0.001767
55,10,40,3.508394,0.350839,0.003508,0.001767
56,10,40,3.508394,0.350839,0.003508,0.001767
57,10,40,3.508394,0.350839,0.003508,0.001767
58,10,40,3.508394,0.350839,0.003508,0.001767
59,10,40,3.508394,0.350839,0.003508,0.001767
60,10,40,3.508394,0.350839,0.003508,0.001767
61,9,36,1.623270,0.180363,0.001804,0.001767
62,9,36,1.623270,0.180363,0.001804,0.001767
63,9,36,1.623270,0.180363,0.001804,0.001767
64,8,32,-4.947597,-0.618450,-0.006184,0.001767
65,7,28,-4.897597,-0.699657,-0.006997,0.001749
66,7,28,-4.897597,-0.699657,-0.006997,0.001749
67,7,28,-4.897597,-0.699657,-0.006997,0.001749
68,7,28,-4.897597,-0.699657,-0.006997,0.001749
69,7,28,-4.897597,-0.699657,-0.006997,0.001749
70,6,24,-4.847597,-0.807933,-0.008079,0.001731
71,6,24,-4.847597,-0.807933,-0.008079,0.001731
72,6,24,-4.847597,-0.807933,-0.008079,0.001731
73,5,20,-5.147597,-1.029519,-0.010295,0.001838
74,5,20,-5.147597,-1.029519,-0.010295,0.001838
75,4,16,-1.899274,-0.474819,-0.004748,0.001719
76,4,16,-1.899274,-0.474819,-0.004748,0.001719
77,4,16,-1.899274,-0.474819,-0.004748,0.001719
78,4,16,-1.899274,-0.474819,-0.004748,0.001719
79,4,16,-1.899274,-0.474819,-0.004748,0.001719
80,4,16,-1.899274,-0.474819,-0.004748,0.001719
81,4,16,-1.899274,-0.474819,-0.004748,0.001719
82,4,16,-1.899274,-0.474819,-0.004748,0.001719
83,2,8,4.771457,2.385729,0.023857,0.000000
84,1,4,0.119048,0.119048,0.001190,0.000000
85,0,0,0.000000,,,0.000000
86,0,0,0.000000,,,0.000000
87,0,0,0.000000,,,0.000000
88,0,0,0.000000,,,0.000000
89,0,0,0.000000,,,0.000000
90,0,0,0.000000,,,0.000000
91,0,0,0.000000,,,0.000000
92,0,0,0.000000,,,0.000000
93,0,0,0.000000,,,0.000000
94,0,0,0.000000,,,0.000000
95,0,0,0.000000,,,0.000000
96,0,0,0.000000,,,0.000000
97,0,0,0.000000,,,0.000000
98,0,0,0.000000,,,0.000000
99,0,0,0.000000,,,0.000000
100,0,0,0.000000,,,0.000000
