threshold_percent,qualifying_hedges,trade_count,total_pnl,pnl_per_hedge,return_on_stake,max_drawdown
0,28,112,15.591880,0.556853,0.005569,0.001311
1,28,112,15.591880,0.556853,0.005569,0.001311
2,28,112,15.591880,0.556853,0.005569,0.001311
3,28,112,15.591880,0.556853,0.005569,0.001311
4,28,112,15.591880,0.556853,0.005569,0.001311
5,28,112,15.591880,0.556853,0.005569,0.001311
6,28,112,15.591880,0.556853,0.005569,0.001311
7,28,112,15.591880,0.556853,0.005569,0.001311
8,28,112,15.591880,0.556853,0.005569,0.001311
9,28,112,15.591880,0.556853,0.005569,0.001311
10,28,112,15.591880,0.556853,0.005569,0.001311
11,28,112,15.591880,0.556853,0.005569,0.001311
12,28,112,15.591880,0.556853,0.005569,0.001311
13,28,112,15.591880,0.556853,0.005569,0.001311
14,28,112,15.591880,0.556853,0.005569,0.001311
15,28,112,15.591880,0.556853,0.005569,0.001311
16,28,112,15.591880,0.556853,0.005569,0.001311
17,28,112,15.591880,0.556853,0.005569,0.001311
18,28,112,15.591880,0.556853,0.005569,0.001311
19,27,108,15.641880,0.579329,0.005793,0.001311
20,27,108,15.641880,0.579329,0.005793,0.001311
21,27,108,15.641880,0.579329,0.005793,0.001311
22,27,108,15.641880,0.579329,0.005793,0.001311
23,26,104,15.691880,0.603534,0.006035,0.001311
24,25,100,17.551455,0.702058,0.007021,0.001310
25,25,100,17.551455,0.702058,0.007021,0.001310
26,25,100,17.551455,0.702058,0.007021,0.001310
27,24,96,18.516549,0.771523,0.007715,0.001310
28,24,96,18.516549,0.771523,0.007715,0.001310
29,24,96,18.516549,0.771523,0.007715,0.001310
30,23,92,18.566549,0.807241,0.008072,0.001292
31,22,88,19.690941,0.895043,0.008950,0.001099
32,22,88,19.690941,0.895043,0.008950,0.001099
33,22,88,19.690941,0.895043,0.008950,0.001099
34,20,80,16.421244,0.821062,0.008211,0.001185
35,19,76,16.471244,0.866908,0.008669,0.001185
36,19,76,16.471244,0.866908,0.008669,0.001185
37,19,76,16.471244,0.866908,0.008669,0.001185
38,18,72,16.521244,0.917847,0.009178,0.001185
39,17,68,16.571244,0.974779,0.009748,0.001167
40,17,68,16.571244,0.974779,0.009748,0.001167
41,16,64,16.621244,1.038828,0.010388,0.001167
42,16,64,16.621244,1.038828,0.010388,0.001167
43,16,64,16.621244,1.038828,0.010388,0.001167
44,16,64,16.621244,1.038828,0.010388,0.001167
45,16,64,16.621244,1.038828,0.010388,0.001167
46,15,60,10.254578,0.683639,0.006836,0.001167
47,15,60,10.254578,0.683639,0.006836,0.001167
48,15,60,10.254578,0.683639,0.006836,0.001167
49,14,56,8.210763,0.586483,0.005865,0.001168
50,14,56,8.210763,0.586483,0.005865,0.001168
51,14,56,8.210763,0.586483,0.005865,0.001168
52,13,52,8.260763,0.635443,0.006354,0.001168
53,13,52,8.260763,0.635443,0.006354,0.001168
54,13,52,8.260763,0.635443,0.006354,0.001168
55,13,52,8.260763,0.635443,0.006354,0.001168
56,12,48,8.310763,0.692564,0.006926,0.001168
57,12,48,8.310763,0.692564,0.006926,0.001168
58,12,48,8.310763,0.692564,0.006926,0.001168
59,12,48,8.310763,0.692564,0.006926,0.001168
60,11,44,7.121688,0.647426,0.006474,0.001168
61,11,44,7.121688,0.647426,0.006474,0.001168
62,11,44,7.121688,0.647426,0.006474,0.001168
63,9,36,5.727171,0.636352,0.006364,0.001156
64,9,36,5.727171,0.636352,0.006364,0.001156
65,9,36,5.727171,0.636352,0.006364,0.001156
66,9,36,5.727171,0.636352,0.006364,0.001156
67,7,28,-3.196741,-0.456677,-0.004567,0.002056
68,5,20,-3.096741,-0.619348,-0.006193,0.002020
69,5,20,-3.096741,-0.619348,-0.006193,0.002020
70,5,20,-3.096741,-0.619348,-0.006193,0.002020
71,4,16,-0.625109,-0.156277,-0.001563,0.001138
72,4,16,-0.625109,-0.156277,-0.001563,0.001138
73,4,16,-0.625109,-0.156277,-0.001563,0.001138
74,3,12,-0.575109,-0.191703,-0.001917,0.001120
75,3,12,-0.575109,-0.191703,-0.001917,0.001120
76,3,12,-0.575109,-0.191703,-0.001917,0.001120
77,2,8,-0.525109,-0.262555,-0.002626,0.001102
78,2,8,-0.525109,-0.262555,-0.002626,0.001102
79,1,4,2.564634,2.564634,0.025646,0.000000
80,1,4,2.564634,2.564634,0.025646,0.000000
81,1,4,2.564634,2.564634,0.025646,0.000000
82,1,4,2.564634,2.564634,0.025646,0.000000
83,0,0,0.000000,,,0.000000
84,0,0,0.000000,,,0.000000
85,0,0,0.000000,,,0.000000
86,0,0,0.000000,,,0.000000
87,0,0,0.000000,,,0.000000
88,0,0,0.000000,,,0.000000
89,0,0,0.000000,,,0.000000
90,0,0,0.000000,,,0.000000
91,0,0,0.000000,,,0.000000
92,0,0,0.000000,,,0.000000
93,0,0,0.000000,,,0.000000
94,0,0,0.000000,,,0.000000
95,0,0,0.000000,,,0.000000
96,0,0,0.000000,,,0.000000
97,0,0,0.000000,,,0.000000
98,0,0,0.000000,,,0.000000
99,0,0,0.000000,,,0.000000
100,0,0,0.000000,,,0.000000
