"sport","best_threshold_percent","qualifying_hedges","total_pnl","pnl_per_hedge","return_on_stake"
"fifa","45","35","35.672676","1.019219","0.010192"
"lol_worlds_2025","72","2","1.325","0.662500","0.006625"
"mlb","73","1","0.60274","0.602740","0.006027"
"nba","24","21","14.971566","0.712932","0.007129"
"nba_2025","95","2","3.189928","1.594964","0.015950"
"nfl","28","22","18.141081","0.824595","0.008246"
"nhl","31","22","19.690941","0.895043","0.008950"
"nhl_2025","29","22","26.032091","1.183277","0.011833"
"ucl_2026","16","23","20.400871","0.886994","0.008870"
"wimbledon_2026","18","38","10.619928","0.279472","0.002795"
