threshold_percent,qualifying_hedges,trade_count,total_pnl,pnl_per_hedge,return_on_stake,max_drawdown
0,26,104,20.250871,0.778880,0.007789,0.002045
1,26,104,20.250871,0.778880,0.007789,0.002045
2,26,104,20.250871,0.778880,0.007789,0.002045
3,26,104,20.250871,0.778880,0.007789,0.002045
4,26,104,20.250871,0.778880,0.007789,0.002045
5,26,104,20.250871,0.778880,0.007789,0.002045
6,26,104,20.250871,0.778880,0.007789,0.002045
7,26,104,20.250871,0.778880,0.007789,0.002045
8,26,104,20.250871,0.778880,0.007789,0.002045
9,26,104,20.250871,0.778880,0.007789,0.002045
10,26,104,20.250871,0.778880,0.007789,0.002045
11,26,104,20.250871,0.778880,0.007789,0.002045
12,26,104,20.250871,0.778880,0.007789,0.002045
13,24,96,20.350871,0.847953,0.008480,0.002026
14,24,96,20.350871,0.847953,0.008480,0.002026
15,24,96,20.350871,0.847953,0.008480,0.002026
16,23,92,20.400871,0.886994,0.008870,0.002026
17,23,92,20.400871,0.886994,0.008870,0.002026
18,23,92,20.400871,0.886994,0.008870,0.002026
19,23,92,20.400871,0.886994,0.008870,0.002026
20,23,92,20.400871,0.886994,0.008870,0.002026
21,23,92,20.400871,0.886994,0.008870,0.002026
22,23,92,20.400871,0.886994,0.008870,0.002026
23,23,92,20.400871,0.886994,0.008870,0.002026
24,23,92,20.400871,0.886994,0.008870,0.002026
25,23,92,20.400871,0.886994,0.008870,0.002026
26,23,92,20.400871,0.886994,0.008870,0.002026
27,21,84,9.152177,0.435818,0.004358,0.002488
28,21,84,9.152177,0.435818,0.004358,0.002488
29,21,84,9.152177,0.435818,0.004358,0.002488
30,21,84,9.152177,0.435818,0.004358,0.002488
31,20,80,9.202177,0.460109,0.004601,0.002488
32,20,80,9.202177,0.460109,0.004601,0.002488
33,20,80,9.202177,0.460109,0.004601,0.002488
34,17,68,9.352177,0.550128,0.005501,0.002469
35,17,68,9.352177,0.550128,0.005501,0.002469
36,17,68,9.352177,0.550128,0.005501,0.002469
37,15,60,9.452177,0.630145,0.006301,0.002450
38,15,60,9.452177,0.630145,0.006301,0.002450
39,15,60,9.452177,0.630145,0.006301,0.002450
40,15,60,9.452177,0.630145,0.006301,0.002450
41,15,60,9.452177,0.630145,0.006301,0.002450
42,15,60,9.452177,0.630145,0.006301,0.002450
43,14,56,4.599236,0.328517,0.003285,0.002450
44,14,56,4.599236,0.328517,0.003285,0.002450
45,14,56,4.599236,0.328517,0.003285,0.002450
46,13,52,4.649236,0.357634,0.003576,0.002450
47,13,52,4.649236,0.357634,0.003576,0.002450
48,13,52,4.649236,0.357634,0.003576,0.002450
49,13,52,4.649236,0.357634,0.003576,0.002450
50,13,52,4.649236,0.357634,0.003576,0.002450
51,13,52,4.649236,0.357634,0.003576,0.002450
52,13,52,4.649236,0.357634,0.003576,0.002450
53,13,52,4.649236,0.357634,0.003576,0.002450
54,13,52,4.649236,0.357634,0.003576,0.002450
55,13,52,4.649236,0.357634,0.003576,0.002450
56,12,48,4.635723,0.386310,0.003863,0.002450
57,12,48,4.635723,0.386310,0.003863,0.002450
58,12,48,4.635723,0.386310,0.003863,0.002450
59,11,44,4.685723,0.425975,0.004260,0.002450
60,11,44,4.685723,0.425975,0.004260,0.002450
61,11,44,4.685723,0.425975,0.004260,0.002450
62,11,44,4.685723,0.425975,0.004260,0.002450
63,11,44,4.685723,0.425975,0.004260,0.002450
64,9,36,5.715250,0.635028,0.006350,0.002032
65,9,36,5.715250,0.635028,0.006350,0.002032
66,9,36,5.715250,0.635028,0.006350,0.002032
67,7,28,3.023521,0.431932,0.004319,0.002032
68,7,28,3.023521,0.431932,0.004319,0.002032
69,7,28,3.023521,0.431932,0.004319,0.002032
70,7,28,3.023521,0.431932,0.004319,0.002032
71,6,24,3.384514,0.564086,0.005641,0.001893
72,6,24,3.384514,0.564086,0.005641,0.001893
73,4,16,-0.375831,-0.093958,-0.000940,0.001896
74,4,16,-0.375831,-0.093958,-0.000940,0.001896
75,3,12,-0.325831,-0.108610,-0.001086,0.001877
76,3,12,-0.325831,-0.108610,-0.001086,0.001877
77,3,12,-0.325831,-0.108610,-0.001086,0.001877
78,3,12,-0.325831,-0.108610,-0.001086,0.001877
79,3,12,-0.325831,-0.108610,-0.001086,0.001877
80,3,12,-0.325831,-0.108610,-0.001086,0.001877
81,3,12,-0.325831,-0.108610,-0.001086,0.001877
82,3,12,-0.325831,-0.108610,-0.001086,0.001877
83,3,12,-0.325831,-0.108610,-0.001086,0.001877
84,3,12,-0.325831,-0.108610,-0.001086,0.001877
85,2,8,-1.182974,-0.591487,-0.005915,0.001877
86,2,8,-1.182974,-0.591487,-0.005915,0.001877
87,2,8,-1.182974,-0.591487,-0.005915,0.001877
88,2,8,-1.182974,-0.591487,-0.005915,0.001877
89,0,0,0.000000,,,0.000000
90,0,0,0.000000,,,0.000000
91,0,0,0.000000,,,0.000000
92,0,0,0.000000,,,0.000000
93,0,0,0.000000,,,0.000000
94,0,0,0.000000,,,0.000000
95,0,0,0.000000,,,0.000000
96,0,0,0.000000,,,0.000000
97,0,0,0.000000,,,0.000000
98,0,0,0.000000,,,0.000000
99,0,0,0.000000,,,0.000000
100,0,0,0.000000,,,0.000000
