threshold_percent,qualifying_hedges,trade_count,total_pnl,pnl_per_hedge,return_on_stake,max_drawdown
0,42,168,10.419928,0.248094,0.002481,0.000970
1,42,168,10.419928,0.248094,0.002481,0.000970
2,42,168,10.419928,0.248094,0.002481,0.000970
3,42,168,10.419928,0.248094,0.002481,0.000970
4,41,164,10.469928,0.255364,0.002554,0.000970
5,41,164,10.469928,0.255364,0.002554,0.000970
6,41,164,10.469928,0.255364,0.002554,0.000970
7,41,164,10.469928,0.255364,0.002554,0.000970
8,41,164,10.469928,0.255364,0.002554,0.000970
9,41,164,10.469928,0.255364,0.002554,0.000970
10,41,164,10.469928,0.255364,0.002554,0.000970
11,41,164,10.469928,0.255364,0.002554,0.000970
12,40,160,10.519928,0.262998,0.002630,0.000970
13,40,160,10.519928,0.262998,0.002630,0.000970
14,39,156,10.569928,0.271024,0.002710,0.000958
15,39,156,10.569928,0.271024,0.002710,0.000958
16,39,156,10.569928,0.271024,0.002710,0.000958
17,39,156,10.569928,0.271024,0.002710,0.000958
18,38,152,10.619928,0.279472,0.002795,0.000946
19,38,152,10.619928,0.279472,0.002795,0.000946
20,38,152,10.619928,0.279472,0.002795,0.000946
21,37,148,10.619928,0.287025,0.002870,0.000946
22,37,148,10.619928,0.287025,0.002870,0.000946
23,37,148,10.619928,0.287025,0.002870,0.000946
24,36,144,6.323119,0.175642,0.001756,0.000947
25,36,144,6.323119,0.175642,0.001756,0.000947
26,36,144,6.323119,0.175642,0.001756,0.000947
27,36,144,6.323119,0.175642,0.001756,0.000947
28,34,136,6.423119,0.188915,0.001889,0.000947
29,34,136,6.423119,0.188915,0.001889,0.000947
30,34,136,6.423119,0.188915,0.001889,0.000947
31,33,132,6.473119,0.196155,0.001962,0.000947
32,32,128,4.996135,0.156129,0.001561,0.000959
33,32,128,4.996135,0.156129,0.001561,0.000959
34,31,124,5.046135,0.162779,0.001628,0.000959
35,30,120,4.912077,0.163736,0.001637,0.000959
36,29,116,5.739542,0.197915,0.001979,0.000959
37,29,116,5.739542,0.197915,0.001979,0.000959
38,28,112,5.572875,0.199031,0.001990,0.000959
39,28,112,5.572875,0.199031,0.001990,0.000959
40,27,108,5.622875,0.208255,0.002083,0.000959
41,25,100,5.201888,0.208076,0.002081,0.000959
42,24,96,5.435623,0.226484,0.002265,0.000959
43,24,96,5.435623,0.226484,0.002265,0.000959
44,24,96,5.435623,0.226484,0.002265,0.000959
45,24,96,5.435623,0.226484,0.002265,0.000959
46,23,92,6.257051,0.272046,0.002720,0.000764
47,23,92,6.257051,0.272046,0.002720,0.000764
48,23,92,6.257051,0.272046,0.002720,0.000764
49,22,88,6.407567,0.291253,0.002913,0.000764
50,21,84,6.204536,0.295454,0.002955,0.000764
51,20,80,6.254536,0.312727,0.003127,0.000764
52,19,76,6.354536,0.334449,0.003344,0.000764
53,19,76,6.354536,0.334449,0.003344,0.000764
54,19,76,6.354536,0.334449,0.003344,0.000764
55,18,72,6.404536,0.355808,0.003558,0.000752
56,18,72,6.404536,0.355808,0.003558,0.000752
57,18,72,6.404536,0.355808,0.003558,0.000752
58,18,72,6.404536,0.355808,0.003558,0.000752
59,17,68,6.454536,0.379679,0.003797,0.000752
60,15,60,-0.363531,-0.024235,-0.000242,0.000754
61,14,56,-1.078407,-0.077029,-0.000770,0.000754
62,14,56,-1.078407,-0.077029,-0.000770,0.000754
63,13,52,-1.028407,-0.079108,-0.000791,0.000754
64,13,52,-1.028407,-0.079108,-0.000791,0.000754
65,12,48,-0.978407,-0.081534,-0.000815,0.000754
66,11,44,-0.928407,-0.084401,-0.000844,0.000754
67,10,40,-0.954723,-0.095472,-0.000955,0.000754
68,10,40,-0.954723,-0.095472,-0.000955,0.000754
69,9,36,-0.904723,-0.100525,-0.001005,0.000742
70,8,32,-0.710838,-0.088855,-0.000889,0.000742
71,8,32,-0.710838,-0.088855,-0.000889,0.000742
72,8,32,-0.710838,-0.088855,-0.000889,0.000742
73,6,24,-2.084976,-0.347496,-0.003475,0.000754
74,6,24,-2.084976,-0.347496,-0.003475,0.000754
75,6,24,-2.084976,-0.347496,-0.003475,0.000754
76,6,24,-2.084976,-0.347496,-0.003475,0.000754
77,5,20,-2.034976,-0.406995,-0.004070,0.000742
78,5,20,-2.034976,-0.406995,-0.004070,0.000742
79,5,20,-2.034976,-0.406995,-0.004070,0.000742
80,4,16,-2.790636,-0.697659,-0.006977,0.000742
81,4,16,-2.790636,-0.697659,-0.006977,0.000742
82,4,16,-2.790636,-0.697659,-0.006977,0.000742
83,3,12,-0.048212,-0.016071,-0.000161,0.000160
84,3,12,-0.048212,-0.016071,-0.000161,0.000160
85,3,12,-0.048212,-0.016071,-0.000161,0.000160
86,3,12,-0.048212,-0.016071,-0.000161,0.000160
87,2,8,0.326355,0.163177,0.001632,0.000160
88,2,8,0.326355,0.163177,0.001632,0.000160
89,1,4,-0.672798,-0.672798,-0.006728,0.000160
90,1,4,-0.672798,-0.672798,-0.006728,0.000160
91,1,4,-0.672798,-0.672798,-0.006728,0.000160
92,1,4,-0.672798,-0.672798,-0.006728,0.000160
93,1,4,-0.672798,-0.672798,-0.006728,0.000160
94,1,4,-0.672798,-0.672798,-0.006728,0.000160
95,1,4,-0.672798,-0.672798,-0.006728,0.000160
96,1,4,-0.672798,-0.672798,-0.006728,0.000160
97,0,0,0.000000,,,0.000000
98,0,0,0.000000,,,0.000000
99,0,0,0.000000,,,0.000000
100,0,0,0.000000,,,0.000000
