country,opponent,match,kickoff_edt,end_edt,series_winner_start,series_winner_end,championship_loss_start,championship_loss_end
Gen.G,Hanwha Life Esports,gen-g-hanwha-life-esports,2025-10-28 02:00 AM EST,2025-10-28 08:00 AM EST,0.800000,1.000000,0.445000,0.320000
Hanwha Life Esports,Gen.G,gen-g-hanwha-life-esports,2025-10-28 02:00 AM EST,2025-10-28 08:00 AM EST,0.200000,0.000000,0.930000,0.999500
KT Rolster,CTBC Flying Oyster,kt-rolster-ctbc-flying-oyster,2025-10-29 02:00 AM EST,2025-10-29 06:32 AM EST,0.640000,1.000000,0.967000,0.920500
CTBC Flying Oyster,KT Rolster,kt-rolster-ctbc-flying-oyster,2025-10-29 02:00 AM EST,2025-10-29 06:32 AM EST,0.360000,0.000000,0.973500,0.999500
G2 Esports,Top Esports,g2-esports-top-esports,2025-10-30 02:00 AM EST,2025-10-30 07:27 AM EST,0.305000,0.000000,0.983500,0.999500
Top Esports,G2 Esports,g2-esports-top-esports,2025-10-30 02:00 AM EST,2025-10-30 07:27 AM EST,0.695000,1.000000,0.963000,0.946500
Anyone's Legend,T1,anyone-s-legend-t1,2025-10-31 02:00 AM EST,2025-10-31 08:49 AM EST,0.540000,0.000000,0.889000,0.999500
T1,Anyone's Legend,anyone-s-legend-t1,2025-10-31 02:00 AM EST,2025-10-31 08:49 AM EST,0.460000,1.000000,0.885000,0.765000
Gen.G,KT Rolster,gen-g-kt-rolster,2025-11-01 02:00 AM EST,2025-11-01 07:57 AM EST,0.865000,0.000000,0.325000,0.999500
KT Rolster,Gen.G,gen-g-kt-rolster,2025-11-01 02:00 AM EST,2025-11-01 07:57 AM EST,0.135000,1.000000,0.958000,0.530000
T1,Top Esports,t1-top-esports,2025-11-02 02:00 AM EST,2025-11-02 07:28 AM EST,0.715000,1.000000,0.565000,0.365000
Top Esports,T1,t1-top-esports,2025-11-02 02:00 AM EST,2025-11-02 07:28 AM EST,0.285000,0.000000,0.892000,0.999500
