country,opponent,match,kickoff_edt,end_edt,game_winner_start,game_winner_end,tournament_loss_start,tournament_loss_end
South Africa,Canada,south-africa-canada,2026-06-28 03:00 PM EDT,2026-06-28 08:00 PM EDT,0.285000,0.000000,0.999500,0.999500
Canada,South Africa,south-africa-canada,2026-06-28 03:00 PM EDT,2026-06-28 08:00 PM EDT,0.715000,1.000000,0.998500,0.997500
Brazil,Japan,brazil-japan,2026-06-29 01:00 PM EDT,2026-06-29 06:00 PM EDT,0.715000,1.000000,0.938500,0.929500
Japan,Brazil,brazil-japan,2026-06-29 01:00 PM EDT,2026-06-29 06:00 PM EDT,0.285000,0.000000,0.988500,0.999500
Germany,Paraguay,germany-paraguay,2026-06-29 04:30 PM EDT,2026-06-29 09:30 PM EDT,0.865000,0.000000,0.955500,0.999500
Paraguay,Germany,germany-paraguay,2026-06-29 04:30 PM EDT,2026-06-29 09:30 PM EDT,0.135000,1.000000,0.999500,0.997500
Netherlands,Morocco,netherlands-morocco,2026-06-29 09:00 PM EDT,2026-06-30 02:00 AM EDT,0.585000,0.000000,0.953000,0.999500
Morocco,Netherlands,netherlands-morocco,2026-06-29 09:00 PM EDT,2026-06-30 02:00 AM EDT,0.415000,1.000000,0.986500,0.959500
Ivory Coast,Norway,ivory-coast-norway,2026-06-30 01:00 PM EDT,2026-06-30 06:00 PM EDT,0.385000,0.000000,0.996500,0.999500
Norway,Ivory Coast,ivory-coast-norway,2026-06-30 01:00 PM EDT,2026-06-30 06:00 PM EDT,0.615000,1.000000,0.979500,0.977500
France,Sweden,france-sweden,2026-06-30 05:00 PM EDT,2026-06-30 10:00 PM EDT,0.875000,1.000000,0.715500,0.667500
Sweden,France,france-sweden,2026-06-30 05:00 PM EDT,2026-06-30 10:00 PM EDT,0.125000,0.000000,0.998500,0.999500
Mexico,Ecuador,mexico-ecuador,2026-06-30 10:00 PM EDT,2026-07-01 03:00 AM EDT,0.625000,1.000000,0.982000,0.971500
Ecuador,Mexico,mexico-ecuador,2026-06-30 10:00 PM EDT,2026-07-01 03:00 AM EDT,0.375000,0.000000,0.995500,0.999500
England,Congo DR,england-congo-dr,2026-07-01 12:00 PM EDT,2026-07-01 05:00 PM EDT,0.875000,1.000000,0.904500,0.918500
Congo DR,England,england-congo-dr,2026-07-01 12:00 PM EDT,2026-07-01 05:00 PM EDT,0.125000,0.000000,0.999500,0.999500
Belgium,Senegal,belgium-senegal,2026-07-01 04:00 PM EDT,2026-07-01 09:00 PM EDT,0.665000,1.000000,0.985500,0.985500
Senegal,Belgium,belgium-senegal,2026-07-01 04:00 PM EDT,2026-07-01 09:00 PM EDT,0.335000,0.000000,0.995500,0.999500
United States,Bosnia-Herzegovina,united-states-bosnia-herzegovina,2026-07-01 08:00 PM EDT,2026-07-02 01:00 AM EDT,0.835000,1.000000,0.970500,0.972500
Bosnia-Herzegovina,United States,united-states-bosnia-herzegovina,2026-07-01 08:00 PM EDT,2026-07-02 01:00 AM EDT,0.165000,0.000000,0.999500,0.999500
Spain,Austria,spain-austria,2026-07-02 03:00 PM EDT,2026-07-02 08:00 PM EDT,0.856250,1.000000,0.891000,0.871500
Austria,Spain,spain-austria,2026-07-02 03:00 PM EDT,2026-07-02 08:00 PM EDT,0.143750,0.000000,0.998500,0.999500
Portugal,Croatia,portugal-croatia,2026-07-02 07:00 PM EDT,2026-07-03 12:00 AM EDT,0.723750,1.000000,0.932000,0.939500
Croatia,Portugal,portugal-croatia,2026-07-02 07:00 PM EDT,2026-07-03 12:00 AM EDT,0.276250,0.000000,0.996500,0.999500
Switzerland,Algeria,switzerland-algeria,2026-07-02 11:00 PM EDT,2026-07-03 04:00 AM EDT,0.666250,1.000000,0.994500,0.991500
Algeria,Switzerland,switzerland-algeria,2026-07-02 11:00 PM EDT,2026-07-03 04:00 AM EDT,0.333750,0.000000,0.999500,0.999500
Australia,Egypt,australia-egypt,2026-07-03 02:00 PM EDT,2026-07-03 07:00 PM EDT,0.405000,0.000000,0.998500,0.999500
Egypt,Australia,australia-egypt,2026-07-03 02:00 PM EDT,2026-07-03 07:00 PM EDT,0.595000,1.000000,0.998500,0.997500
Argentina,Cape Verde,argentina-cape-verde,2026-07-03 06:00 PM EDT,2026-07-03 11:00 PM EDT,0.935000,1.000000,0.804500,0.830500
Cape Verde,Argentina,argentina-cape-verde,2026-07-03 06:00 PM EDT,2026-07-03 11:00 PM EDT,0.065000,0.000000,0.999500,0.999500
Colombia,Ghana,colombia-ghana,2026-07-03 09:30 PM EDT,2026-07-04 02:30 AM EDT,0.805000,1.000000,0.973500,0.968500
Ghana,Colombia,colombia-ghana,2026-07-03 09:30 PM EDT,2026-07-04 02:30 AM EDT,0.195000,0.000000,0.999500,0.999500
Canada,Morocco,canada-morocco,2026-07-04 01:00 PM EDT,2026-07-04 06:00 PM EDT,0.285000,0.000000,0.997500,0.999500
