country,opponent,match,kickoff_edt,end_edt,series_winner_start,series_winner_end,championship_loss_start,championship_loss_end
Atalanta,Bayern München,atalanta-bayern-munchen,2026-03-10 04:00 PM EDT,2026-03-18 06:08 PM EDT,0.125000,0.000000,0.994500,0.999500
Bayern München,Atalanta,atalanta-bayern-munchen,2026-03-10 04:00 PM EDT,2026-03-18 06:08 PM EDT,0.880000,1.000000,0.845000,0.775000
Atlético Madrid,Tottenham Hotspur,atletico-madrid-tottenham-hotspur,2026-03-10 04:00 PM EDT,2026-03-18 06:08 PM EDT,0.705000,1.000000,0.968000,0.951000
Tottenham Hotspur,Atlético Madrid,atletico-madrid-tottenham-hotspur,2026-03-10 04:00 PM EDT,2026-03-18 06:08 PM EDT,0.330000,0.000000,0.983500,0.999500
Newcastle,Barcelona,newcastle-barcelona,2026-03-10 04:00 PM EDT,2026-03-18 03:55 PM EDT,0.300000,0.000000,0.983500,0.999500
Barcelona,Newcastle,newcastle-barcelona,2026-03-10 04:00 PM EDT,2026-03-18 03:55 PM EDT,0.725000,1.000000,0.860000,0.845000
Leverkusen,Arsenal,leverkusen-arsenal,2026-03-11 01:45 PM EDT,2026-03-17 06:06 PM EDT,0.120000,0.000000,0.994500,0.999500
Arsenal,Leverkusen,leverkusen-arsenal,2026-03-11 01:45 PM EDT,2026-03-17 06:06 PM EDT,0.885000,1.000000,0.715000,0.715000
Bodø/Glimt,Sporting CP,bod-glimt-sporting-cp,2026-03-11 04:00 PM EDT,2026-03-17 04:38 PM EDT,0.365000,0.000000,0.982500,0.999500
Sporting CP,Bodø/Glimt,bod-glimt-sporting-cp,2026-03-11 04:00 PM EDT,2026-03-17 04:38 PM EDT,0.635000,1.000000,0.988500,0.982500
Paris Saint-Germain (PSG),Chelsea,paris-saint-germain-psg-chelsea,2026-03-11 04:00 PM EDT,2026-03-17 06:02 PM EDT,0.555000,1.000000,0.925000,0.865000
Chelsea,Paris Saint-Germain (PSG),paris-saint-germain-psg-chelsea,2026-03-11 04:00 PM EDT,2026-03-17 06:02 PM EDT,0.455000,0.000000,0.965500,0.999500
Real Madrid,Manchester City,real-madrid-manchester-city,2026-03-11 04:00 PM EDT,2026-03-17 06:09 PM EDT,0.265000,1.000000,0.950000,0.885000
Manchester City,Real Madrid,real-madrid-manchester-city,2026-03-11 04:00 PM EDT,2026-03-17 06:09 PM EDT,0.725000,0.000000,0.905000,0.999500
Sporting CP,Arsenal,sporting-cp-arsenal,2026-04-07 03:00 PM EDT,2026-04-15 05:07 PM EDT,0.150000,0.000000,0.989500,0.999500
Arsenal,Sporting CP,sporting-cp-arsenal,2026-04-07 03:00 PM EDT,2026-04-15 05:07 PM EDT,0.840000,1.000000,0.745000,0.705000
Real Madrid,Bayern München,real-madrid-bayern-munchen,2026-04-07 03:00 PM EDT,2026-04-15 05:10 PM EDT,0.330000,0.000000,0.905000,0.999500
Bayern München,Real Madrid,real-madrid-bayern-munchen,2026-04-07 03:00 PM EDT,2026-04-15 05:10 PM EDT,0.665000,1.000000,0.775000,0.665000
Barcelona,Atlético Madrid,barcelona-atletico-madrid,2026-04-08 03:00 PM EDT,2026-04-14 05:15 PM EDT,0.740000,0.000000,0.825000,0.999500
Atlético Madrid,Barcelona,barcelona-atletico-madrid,2026-04-08 03:00 PM EDT,2026-04-14 05:15 PM EDT,0.260000,1.000000,0.963000,0.896500
Paris Saint-Germain (PSG),Liverpool,paris-saint-germain-psg-liverpool,2026-04-08 03:00 PM EDT,2026-04-14 05:15 PM EDT,0.635000,1.000000,0.845000,0.745000
Liverpool,Paris Saint-Germain (PSG),paris-saint-germain-psg-liverpool,2026-04-08 03:00 PM EDT,2026-04-14 05:15 PM EDT,0.365000,0.000000,0.945000,0.999500
Paris Saint-Germain (PSG),Bayern München,paris-saint-germain-psg-bayern-munchen,2026-04-28 03:00 PM EDT,2026-05-06 05:14 PM EDT,0.425000,1.000000,0.735000,0.425000
Bayern München,Paris Saint-Germain (PSG),paris-saint-germain-psg-bayern-munchen,2026-04-28 03:00 PM EDT,2026-05-06 05:14 PM EDT,0.585000,0.000000,0.635000,0.999500
Atlético Madrid,Arsenal,atletico-madrid-arsenal,2026-04-29 03:00 PM EDT,2026-05-05 05:08 PM EDT,0.330000,0.000000,0.891500,0.999500
Arsenal,Atlético Madrid,atletico-madrid-arsenal,2026-04-29 03:00 PM EDT,2026-05-05 05:08 PM EDT,0.665000,1.000000,0.715000,0.595000
