country,opponent,match,kickoff_edt,end_edt,game_winner_start,game_winner_end,championship_loss_start,championship_loss_end
Casper Ruud,Hubert Hurkacz,casper-ruud-hubert-hurkacz,2026-06-29 08:20 AM EDT,2026-06-29 11:01 AM EDT,0.335000,0.000000,0.998500,0.999500
Hubert Hurkacz,Casper Ruud,casper-ruud-hubert-hurkacz,2026-06-29 08:20 AM EDT,2026-06-29 11:01 AM EDT,0.665000,1.000000,0.996500,0.995000
Marin Cilic,Daniil Medvedev,marin-cilic-daniil-medvedev,2026-06-29 11:00 AM EDT,2026-06-29 01:31 PM EDT,0.275000,0.000000,0.999500,0.999500
Daniil Medvedev,Marin Cilic,marin-cilic-daniil-medvedev,2026-06-29 11:00 AM EDT,2026-06-29 01:31 PM EDT,0.725000,1.000000,0.984000,0.974500
Jiri Lehecka,Alexei Popyrin,jiri-lehecka-alexei-popyrin,2026-06-30 02:15 PM EDT,2026-06-30 03:26 PM EDT,0.965000,1.000000,0.992500,0.985500
Alexei Popyrin,Jiri Lehecka,jiri-lehecka-alexei-popyrin,2026-06-30 02:15 PM EDT,2026-06-30 03:26 PM EDT,0.035000,0.000000,0.999500,0.999500
Stefanos Tsitsipas,Novak Djokovic,stefanos-tsitsipas-novak-djokovic,2026-07-01 02:45 PM EDT,2026-07-01 08:46 PM EDT,0.205000,0.000000,0.999000,1.000000
Novak Djokovic,Stefanos Tsitsipas,stefanos-tsitsipas-novak-djokovic,2026-07-01 02:45 PM EDT,2026-07-01 08:46 PM EDT,0.795000,1.000000,0.881500,0.858500
Gabriel Diallo,Lorenzo Sonego,gabriel-diallo-lorenzo-sonego,2026-07-02 06:05 AM EDT,2026-07-02 11:06 AM EDT,0.505000,0.000000,0.998500,0.999500
Lorenzo Sonego,Gabriel Diallo,gabriel-diallo-lorenzo-sonego,2026-07-02 06:05 AM EDT,2026-07-02 11:06 AM EDT,0.495000,1.000000,0.998500,0.999000
Matteo Berrettini,Arthur Fils,matteo-berrettini-arthur-fils,2026-07-02 10:10 AM EDT,2026-07-02 04:06 PM EDT,0.345000,1.000000,0.993500,0.982500
Arthur Fils,Matteo Berrettini,matteo-berrettini-arthur-fils,2026-07-02 10:10 AM EDT,2026-07-02 04:06 PM EDT,0.655000,0.000000,0.976500,0.999500
Jakub Mensik,Grigor Dimitrov,jakub-mensik-grigor-dimitrov,2026-07-02 12:40 PM EDT,2026-07-02 04:59 PM EDT,0.645000,0.000000,0.983500,0.999500
Grigor Dimitrov,Jakub Mensik,jakub-mensik-grigor-dimitrov,2026-07-02 12:40 PM EDT,2026-07-02 04:59 PM EDT,0.355000,1.000000,0.998500,0.987500
Hubert Hurkacz,Tommy Paul,hubert-hurkacz-tommy-paul,2026-07-03 09:55 AM EDT,2026-07-03 01:40 PM EDT,0.375000,1.000000,0.996000,0.991000
Tommy Paul,Hubert Hurkacz,hubert-hurkacz-tommy-paul,2026-07-03 09:55 AM EDT,2026-07-03 01:40 PM EDT,0.625000,0.000000,0.986000,0.999500
Karen Khachanov,Flavio Cobolli,karen-khachanov-flavio-cobolli,2026-07-04 08:10 AM EDT,2026-07-04 12:50 PM EDT,0.585000,0.000000,0.997500,0.999500
Flavio Cobolli,Karen Khachanov,karen-khachanov-flavio-cobolli,2026-07-04 08:10 AM EDT,2026-07-04 12:50 PM EDT,0.415000,1.000000,0.993500,0.982000
Taylor Fritz,Lorenzo Sonego,taylor-fritz-lorenzo-sonego,2026-07-04 12:35 PM EDT,2026-07-04 03:48 PM EDT,0.885000,1.000000,0.938500,0.940500
Lorenzo Sonego,Taylor Fritz,taylor-fritz-lorenzo-sonego,2026-07-04 12:35 PM EDT,2026-07-04 03:48 PM EDT,0.115000,0.000000,0.998500,0.999500
Frances Tiafoe,Alexander Bublik,frances-tiafoe-alexander-bublik,2026-07-04 01:15 PM EDT,2026-07-04 06:00 PM EDT,0.515000,0.000000,0.986500,0.999000
Alexander Bublik,Frances Tiafoe,frances-tiafoe-alexander-bublik,2026-07-04 01:15 PM EDT,2026-07-04 06:00 PM EDT,0.485000,1.000000,0.992000,0.982000
Grigor Dimitrov,Matteo Berrettini,grigor-dimitrov-matteo-berrettini,2026-07-04 01:25 PM EDT,2026-07-04 05:31 PM EDT,0.405000,1.000000,0.982500,0.961500
Matteo Berrettini,Grigor Dimitrov,grigor-dimitrov-matteo-berrettini,2026-07-04 01:25 PM EDT,2026-07-04 05:31 PM EDT,0.595000,0.000000,0.988500,0.999500
Felix Auger-Aliassime,Alejandro Davidovich Fokina,felix-auger-aliassime-alejandro-davidovich-fokina,2026-07-05 10:40 AM EDT,2026-07-05 04:08 PM EDT,0.605000,1.000000,0.974500,0.965000
Alejandro Davidovich Fokina,Felix Auger-Aliassime,felix-auger-aliassime-alejandro-davidovich-fokina,2026-07-05 10:40 AM EDT,2026-07-05 04:08 PM EDT,0.395000,0.000000,0.992500,0.999500
Alex de Minaur,Flavio Cobolli,alex-de-minaur-flavio-cobolli,2026-07-06 08:10 AM EDT,2026-07-06 11:18 AM EDT,0.765000,0.000000,0.978500,0.999500
Flavio Cobolli,Alex de Minaur,alex-de-minaur-flavio-cobolli,2026-07-06 08:10 AM EDT,2026-07-06 11:18 AM EDT,0.235000,1.000000,0.982500,0.968500
Taylor Fritz,Alexander Bublik,taylor-fritz-alexander-bublik,2026-07-06 01:00 PM EDT,2026-07-06 03:23 PM EDT,0.695000,1.000000,0.931500,0.899500
Alexander Bublik,Taylor Fritz,taylor-fritz-alexander-bublik,2026-07-06 01:00 PM EDT,2026-07-06 03:23 PM EDT,0.305000,0.000000,0.983000,0.999500
Jiri Lehecka,Alexander Zverev,jiri-lehecka-alexander-zverev,2026-07-06 03:50 PM EDT,2026-07-07 12:47 PM EDT,0.275000,0.000000,0.988000,0.999500
Alexander Zverev,Jiri Lehecka,jiri-lehecka-alexander-zverev,2026-07-06 03:50 PM EDT,2026-07-07 12:47 PM EDT,0.725000,1.000000,0.916500,0.902000
Felix Auger-Aliassime,Novak Djokovic,felix-auger-aliassime-novak-djokovic,2026-07-07 12:25 PM EDT,2026-07-07 06:26 PM EDT,0.405000,0.000000,0.978000,0.999500
Novak Djokovic,Felix Auger-Aliassime,felix-auger-aliassime-novak-djokovic,2026-07-07 12:25 PM EDT,2026-07-07 06:26 PM EDT,0.595000,1.000000,0.880000,0.867000
Flavio Cobolli,Arthur Fery,flavio-cobolli-arthur-fery,2026-07-08 10:05 AM EDT,2026-07-08 01:01 PM EDT,0.685000,0.000000,0.962000,0.999500
Arthur Fery,Flavio Cobolli,flavio-cobolli-arthur-fery,2026-07-08 10:05 AM EDT,2026-07-08 01:01 PM EDT,0.315000,1.000000,0.987000,0.973500
Taylor Fritz,Alexander Zverev,taylor-fritz-alexander-zverev,2026-07-08 10:25 AM EDT,2026-07-08 01:05 PM EDT,0.545000,0.000000,0.902500,0.999500
Alexander Zverev,Taylor Fritz,taylor-fritz-alexander-zverev,2026-07-08 10:25 AM EDT,2026-07-08 01:05 PM EDT,0.455000,1.000000,0.902500,0.777500
Arthur Fery,Alexander Zverev,arthur-fery-alexander-zverev,2026-07-10 08:30 AM EDT,2026-07-10 11:28 AM EDT,0.135000,0.000000,0.973500,0.999500
Alexander Zverev,Arthur Fery,arthur-fery-alexander-zverev,2026-07-10 08:30 AM EDT,2026-07-10 11:28 AM EDT,0.865000,1.000000,0.764500,0.724000
Jannik Sinner,Novak Djokovic,jannik-sinner-novak-djokovic,2026-07-10 11:20 AM EDT,2026-07-10 02:18 PM EDT,0.825000,1.000000,0.375000,0.215000
Novak Djokovic,Jannik Sinner,jannik-sinner-novak-djokovic,2026-07-10 11:20 AM EDT,2026-07-10 02:18 PM EDT,0.175000,0.000000,0.888000,0.999500
